lote_interno,coste_componente_unitario,componente
1903-047,6.9576,MAT075
1904-082,6.9576,MAT075
1905-088,7.5,MAT075
1908-010,7.5,MAT075
1909-053,7.5,MAT075
1910-082,7.7318,MAT075
1911-034,7.5,MAT075
1912-061,8.589,MAT075
2001-020,8.589,MAT075
2003-012,8.589,MAT075
2007-037,8.589,MAT075
2009-012,7.5837,MAT075
1902-020,2.308,MAT077
1909-056,16.346,MAT080
1911-008,3.95,MAT080
1912-012,3.95,MAT080
1911-045,3.35,MAT081
1912-003,10.3989,MAT081
2011-025,22.019,MAT082
1911-007,18.9,MAT083
2006-051,12.871,MAT084
2010-032,12.871,MAT084
1902-006,2.6366,MAT089
1911-073,5.705,MAT089
1912-013,2.6366,MAT089
2006-002,5.157,MAT089
2006-036,5.157,MAT089
2007-047,5.157,MAT089
2103-035,5.751,MAT089
2105-059,5.751,MAT089
2106-019,4.533,MAT089
2108-017,4.696,MAT089
2110-010,4.696,MAT089
2201-044,4.696,MAT089
2203-143,5.664,MAT089
2402-104,15.56,MAT089
2403-078,15.56,MAT089
2404-026,15.56,MAT089
1904-075,658.8,MAT09
2010-015,566.0,MAT09
1901-089,7.1896,MAT099
1904-038,7.1896,MAT099
1906-023,8.0883,MAT099
1908-005,8.0883,MAT099
1908-057,7.1896,MAT099
1909-039,0.0,MAT099
1910-098,7.1896,MAT099
1911-067,7.1896,MAT099
1912-090,7.1896,MAT099
2002-050,7.331,MAT099
1907-052,0.78,MAT101
1907-075,0.78,MAT101
1909-005,0.78,MAT101
1909-052,0.78,MAT101
1910-048,0.78,MAT101
1910-109,0.78,MAT101
1911-035,0.78,MAT101
1911-065,0.78,MAT101
1911-078,0.78,MAT101
1912-057,0.78,MAT101
2002-041,0.78,MAT101
2003-007,0.78,MAT101
2006-001,0.78,MAT101
2006-020,0.78,MAT101
2006-049,0.78,MAT101
2007-051,0.78,MAT101
2008-040,0.78,MAT101
2008-056,0.78,MAT101
2011-015,0.78,MAT101
2101-024,0.78,MAT101
2103-040,0.78,MAT101
2105-038,0.78,MAT101
2105-079,0.78,MAT101
2106-009,0.78,MAT101
2106-026,0.78,MAT101
2107-012,0.78,MAT101
2107-082,0.78,MAT101
2108-015,0.78,MAT101
2108-042,0.78,MAT101
2108-101,0.78,MAT101
2109-134,0.78,MAT101
2109-135,0.78,MAT101
2110-023,0.78,MAT101
2110-112,0.78,MAT101
2110-130,0.78,MAT101
2111-055,0.78,MAT101
2111-102,0.78,MAT101
2112-014,0.78,MAT101
2112-071,0.78,MAT101
2201-023,0.78,MAT101
2201-085,0.78,MAT101
2201-095,0.78,MAT101
2203-088,0.78,MAT101
1907-024,0.7799999999999989,MAT101
1902-010,0.78,MAT101
1905-018,0.78,MAT101
1905-056,0.78,MAT101
1906-038,0.78,MAT101
1901-003,0.0423,MAT104
1901-056,0.042,MAT104
1902-060,0.0423,MAT104
1903-007,0.0423,MAT104
1903-057,0.0423,MAT104
1905-036,0.0423,MAT104
1906-033,0.0423,MAT104
1907-044,0.0423,MAT104
1908-030,0.0423,MAT104
1909-001,0.036,MAT104
1909-092,0.0423,MAT104
1910-042,0.0423,MAT104
1911-001,0.036,MAT104
1912-024,0.0423,MAT104
2001-012,0.0332,MAT104
2001-048,0.0332,MAT104
2005-012,0.0331,MAT104
2011-067,0.0361,MAT104
2101-001,0.0361,MAT104
2107-046,0.0361,MAT104
2108-073,0.0361,MAT104
2110-122,0.0361,MAT104
2202-094,0.0399,MAT104
2205-023,0.0399,MAT104
2206-080,0.0399,MAT104
2209-022,0.0399,MAT104
2211-043,0.0399,MAT104
2301-060,0.0528,MAT104
2305-020,0.0528,MAT104
2307-038,0.0528,MAT104
2307-103,0.0528,MAT104
2308-023,0.0516,MAT104
2310-072,0.0516,MAT104
2311-035,0.0516,MAT104
2311-088,0.0516,MAT104
2312-016,0.0492,MAT104
2401-012,0.049,MAT104
2402-029,0.049,MAT104
2402-113,0.049,MAT104
2403-015,0.049,MAT104
2404-018,0.049,MAT104
2405-002,0.049,MAT104
2406-007,0.049,MAT104
2407-022,0.049,MAT104
2407-106,0.049,MAT104
2408-107,0.049,MAT104
2409-114,0.049,MAT104
2410-030,0.049,MAT104
2410-118,0.049,MAT104
2412-009,0.049,MAT104
2501-017,0.049,MAT104
2502-044,0.049,MAT104
2502-102,0.049,MAT104
2503-054,0.049,MAT104
1905-038,1.69,MAT105
1904-019,5.9,MAT112
1905-052,5.9,MAT112
1908-041,4.5,MAT112
1909-016,5.9,MAT112
1910-061,5.9,MAT112
1911-049,5.9,MAT112
2002-051,6.35,MAT112
1901-063,2.85,MAT113
1902-034,2.85,MAT113
1902-057,2.85,MAT113
1902-072,2.85,MAT113
1904-026,2.85,MAT113
1905-086,3.05,MAT113
1906-068,3.2,MAT113
1908-001,3.1,MAT113
1908-002,2.1,MAT113
1909-036,3.1,MAT113
1910-008,3.1,MAT113
1910-075,3.1,MAT113
1911-062,3.1,MAT113
2001-066,3.1,MAT113
2003-002,3.1,MAT113
2003-003,2.6,MAT113
2003-015,3.1,MAT113
2012-060,2.95,MAT113
2102-021,2.75,MAT113
2104-022,3.6,MAT113
2104-070,3.6,MAT113
2106-074,3.4,MAT113
2107-094,3.5,MAT113
2107-108,3.4,MAT113
2107-110,3.5,MAT113
2108-037,3.5,MAT113
2108-072,3.5,MAT113
2109-015,3.5,MAT113
2109-046,3.5,MAT113
2109-114,3.0,MAT113
2109-131,3.5,MAT113
2109-163,3.0,MAT113
2110-005,3.65,MAT113
2110-048,3.65,MAT113
2110-049,3.0,MAT113
2110-076,3.65,MAT113
2110-127,3.8,MAT113
2110-145,3.2612,MAT113
2111-035,3.4,MAT113
2111-096,3.8,MAT113
2111-178,3.55,MAT113
2112-037,3.8,MAT113
2112-161,3.8,MAT113
2201-001,3.8,MAT113
2201-125,3.5,MAT113
2202-064,3.6,MAT113
2202-129,3.6,MAT113
2204-112,4.5,MAT113
2205-022,4.5,MAT113
2302-032,3.9,MAT113
2312-066,3.9,MAT113
2401-013,3.9,MAT113
2402-070,3.9,MAT113
2403-060,3.9,MAT113
2404-057,3.9,MAT113
2105-110,3.390203636363636,MAT113
2312-115,3.390203636363636,MAT113
2204-102,10.93,MAT118
2306-106,11.15,MAT118
2403-025,11.15,MAT118
1901-049,3.58,MAT119
1901-077,3.7,MAT119
1902-017,3.8,MAT119
1902-051,3.69,MAT119
1904-002,3.8,MAT119
1904-030,3.19,MAT119
1905-014,3.19,MAT119
1909-027,3.19,MAT119
1911-028,3.19,MAT119
2001-034,3.19,MAT119
1905-053,5.891,MAT120
1901-068,6.317,MAT121
1904-032,6.3187,MAT121
1906-048,6.3187,MAT121
1909-083,6.8183,MAT121
2001-038,7.4244,MAT121
2006-003,6.818,MAT121
2006-004,8.9772,MAT121
1910-084,43.75,MAT125
1904-077,6.2486,MAT128
1907-028,12.04,MAT128
1909-042,12.04,MAT128
1910-066,12.04,MAT128
1911-053,12.04,MAT128
2002-030,10.6342,MAT128
2007-056,9.4075,MAT128
2104-051,9.4075,MAT128
1904-062,3.65,MAT129
1907-055,6.5184,MAT129
1907-065,3.65,MAT129
1910-089,3.65,MAT129
1912-005,3.65,MAT129
2003-039,3.6666,MAT129
2009-002,3.6666,MAT129
2103-041,3.6667,MAT129
2108-004,3.6667,MAT129
2111-003,3.6667,MAT129
2202-035,3.6667,MAT129
2205-064,3.6667,MAT129
2208-060,3.6667,MAT129
2211-003,3.6667,MAT129
2305-032,4.1666,MAT129
2309-082,4.1666,MAT129
2404-114,1.84,MAT129
2412-032,1.84,MAT129
1901-060,3.25,MAT130
1904-061,3.25,MAT130
1907-066,3.25,MAT130
1910-090,3.375,MAT130
1912-004,3.375,MAT130
2002-043,2.7667,MAT130
2008-033,2.6667,MAT130
2106-012,2.5641,MAT130
2108-005,2.5641,MAT130
2111-004,2.5641,MAT130
2202-036,2.5641,MAT130
2205-093,2.9167,MAT130
2208-061,2.9167,MAT130
2212-080,2.9167,MAT130
2305-033,3.333,MAT130
2401-039,2.92,MAT130
2409-092,3.3333,MAT130
2502-001,3.3333,MAT130
1901-045,8.5,MAT132
1904-017,8.2,MAT132
1904-018,8.2,MAT132
1905-054,8.33,MAT132
1905-082,8.33,MAT132
1906-066,8.33,MAT132
1907-068,8.33,MAT132
1908-054,8.33,MAT132
1909-059,8.33,MAT132
1909-068,8.33,MAT132
1910-056,8.33,MAT132
1911-040,8.33,MAT132
1911-046,8.33,MAT132
2002-036,8.33,MAT132
2003-021,8.33,MAT132
2007-025,8.33,MAT132
2007-031,8.33,MAT132
2008-017,8.33,MAT132
2008-036,8.33,MAT132
2008-060,8.33,MAT132
2010-008,8.33,MAT132
2012-008,8.33,MAT132
2102-051,8.33,MAT132
2103-042,8.33,MAT132
2104-027,8.33,MAT132
2105-034,8.33,MAT132
2105-066,8.33,MAT132
2105-083,8.33,MAT132
2106-059,8.33,MAT132
2107-033,8.33,MAT132
2107-043,8.33,MAT132
2107-059,8.98,MAT132
2107-083,8.33,MAT132
2107-101,8.33,MAT132
2108-020,8.33,MAT132
2108-093,8.33,MAT132
2109-018,8.55,MAT132
2109-048,8.55,MAT132
2110-085,8.55,MAT132
2110-115,8.55,MAT132
2110-140,8.55,MAT132
2111-047,8.55,MAT132
2111-099,8.908,MAT132
2112-043,8.908,MAT132
2112-117,8.908,MAT132
2201-012,8.908,MAT132
2201-054,8.908,MAT132
2202-059,9.5,MAT132
2203-038,9.5,MAT132
2205-003,10.15,MAT132
2205-013,10.15,MAT132
2205-085,10.15,MAT132
2205-108,10.15,MAT132
2205-124,10.43,MAT132
2205-136,10.43,MAT132
2207-077,10.43,MAT132
2208-059,10.43,MAT132
2209-033,10.43,MAT132
2210-022,10.43,MAT132
2210-114,10.43,MAT132
2211-102,10.43,MAT132
2301-035,10.43,MAT132
2302-106,10.43,MAT132
2304-047,10.2165,MAT132
2304-086,10.43,MAT132
2305-104,10.43,MAT132
2306-101,11.4,MAT132
2307-092,11.4,MAT132
2308-096,11.4,MAT132
2310-039,11.4,MAT132
2311-058,11.4,MAT132
2312-064,11.4,MAT132
2401-014,11.4,MAT132
2402-045,11.4,MAT132
2404-041,11.4,MAT132
2405-029,11.4,MAT132
2406-032,11.4,MAT132
2407-007,11.4,MAT132
2409-042,11.4,MAT132
2412-001,11.4,MAT132
2502-026,11.4,MAT132
1902-042,9.5,MAT133
1903-058,9.5,MAT133
1904-069,9.5,MAT133
1907-053,9.5,MAT133
2006-028,3.0,MAT133
1905-040,6.5,MAT134
1909-012,6.5,MAT134
1912-016,7.3,MAT136
2011-027,7.2,MAT136
2111-174,10.0,MAT136
2305-051,9.5,MAT136
2404-097,11.5,MAT136
1903-018,5.07,MAT137
1904-067,5.07,MAT137
1905-093,5.07,MAT137
1908-042,5.13,MAT137
1910-099,5.13,MAT137
1911-066,5.13,MAT137
1912-068,5.13,MAT137
2002-002,5.23,MAT137
2007-010,5.23,MAT137
2008-032,5.23,MAT137
2009-007,5.23,MAT137
2009-040,5.23,MAT137
2012-007,4.99,MAT137
2101-030,4.99,MAT137
2103-050,4.99,MAT137
2104-061,4.99,MAT137
2105-112,4.99,MAT137
2106-023,4.9,MAT137
2106-072,4.9,MAT137
2106-097,4.9,MAT137
2107-026,4.9,MAT137
2107-079,4.9,MAT137
2108-081,4.9,MAT137
2109-139,4.9,MAT137
2111-130,4.9,MAT137
2112-042,4.9,MAT137
2112-056,4.9,MAT137
2112-086,4.9,MAT137
2202-124,4.9,MAT137
2203-046,4.9,MAT137
2203-082,4.9,MAT137
2204-046,4.9,MAT137
2205-051,4.9,MAT137
2205-113,4.9,MAT137
2206-078,4.9,MAT137
2207-023,5.76,MAT137
2208-063,5.76,MAT137
2209-036,6.567,MAT137
2209-098,6.567,MAT137
2210-112,5.76,MAT137
2210-120,5.76,MAT137
2212-053,5.76,MAT137
2301-076,0.0,MAT137
2305-093,5.76,MAT137
2307-018,5.76,MAT137
2307-104,5.76,MAT137
2308-067,6.25,MAT137
2309-038,6.25,MAT137
2310-082,6.25,MAT137
2311-042,6.25,MAT137
2311-125,6.25,MAT137
2401-007,6.25,MAT137
2402-016,6.25,MAT137
2403-023,7.1,MAT137
2404-045,7.1,MAT137
2405-012,8.8,MAT137
2405-097,8.696,MAT137
2407-072,12.77,MAT137
2410-001,12.77,MAT137
2411-041,12.77,MAT137
2412-084,12.77,MAT137
2502-054,12.77,MAT137
2503-133,12.77,MAT137
1901-078,7.72,MAT139
1904-088,7.72,MAT139
1906-039,7.72,MAT139
1911-084,13.692,MAT139
1912-065,13.692,MAT139
2001-072,12.4,MAT139
2002-038,7.72,MAT139
2106-105,12.4,MAT139
2107-020,10.858,MAT139
2202-113,7.55,MAT139
2203-115,7.55,MAT139
2205-107,7.55,MAT139
2008-019,0.0397,MAT142
1901-036,0.02,MAT144
1901-086,0.0225,MAT144
1903-051,0.0165,MAT144
2104-075,0.0165,MAT144
2201-105,0.0165,MAT144
2208-120,0.0165,MAT144
2312-097,0.0231,MAT144
2409-063,0.0221,MAT144
2503-082,0.0221,MAT144
1905-009,0.0832,MAT146
1910-036,0.0832,MAT146
2106-021,0.0874,MAT146
2207-081,0.088,MAT146
2503-096,0.1088,MAT146
1901-041,0.0254,MAT147
1902-014,0.0277,MAT147
1905-032,0.0277,MAT147
1908-046,0.0277,MAT147
1909-060,0.0277,MAT147
1911-024,0.0277,MAT147
1912-067,0.0277,MAT147
2001-030,0.045,MAT147
2007-007,0.0277,MAT147
2009-018,0.0277,MAT147
2009-058,0.0277,MAT147
2011-041,0.0277,MAT147
2105-081,0.0291,MAT147
2107-053,0.0304,MAT147
2112-167,0.0304,MAT147
2203-078,0.0304,MAT147
2204-019,0.039,MAT147
2205-084,0.039,MAT147
2209-085,0.039,MAT147
2209-104,0.039,MAT147
2211-100,0.039,MAT147
2301-042,0.039,MAT147
2305-109,0.039,MAT147
2310-054,0.039,MAT147
2312-071,0.039,MAT147
2404-075,0.039,MAT147
2405-115,0.039,MAT147
2409-097,0.039,MAT147
2412-022,0.039,MAT147
2501-088,0.039,MAT147
1912-055,4.4,MAT149
2203-132,3.0,MAT149
2203-165,4.0,MAT149
2204-068,4.5,MAT149
2205-098,4.5,MAT149
2206-002,4.4,MAT149
2207-011,4.4,MAT149
2208-086,4.3,MAT149
2209-052,4.5,MAT149
2209-073,4.3,MAT149
2210-129,4.45,MAT149
2211-130,4.9,MAT149
2212-052,4.9,MAT149
2301-027,4.85,MAT149
2302-013,4.7,MAT149
2302-104,4.8,MAT149
2303-045,4.8,MAT149
2305-040,6.2,MAT149
2305-102,6.5,MAT149
2306-052,7.5,MAT149
2306-129,6.55,MAT149
2307-030,6.55,MAT149
2307-100,6.55,MAT149
2308-018,5.4,MAT149
2309-039,5.6,MAT149
2309-090,5.6,MAT149
2310-061,5.7,MAT149
2311-048,5.6,MAT149
2312-026,5.4,MAT149
2312-065,5.4,MAT149
2401-023,6.0,MAT149
2401-080,6.0,MAT149
2402-063,5.5,MAT149
2403-019,5.5,MAT149
2403-126,5.8,MAT149
2404-036,5.8,MAT149
2405-065,5.8,MAT149
2406-073,5.8,MAT149
2407-082,5.3,MAT149
2408-069,5.2,MAT149
2409-020,5.2,MAT149
2409-090,5.2,MAT149
2411-040,5.2,MAT149
2412-079,5.2,MAT149
2412-101,5.2,MAT149
2412-112,4.65,MAT149
2501-021,4.65,MAT149
2502-088,4.9,MAT149
2006-033,5.0,MAT153
2008-002,5.0,MAT153
2008-044,5.0,MAT153
2009-031,5.0,MAT153
1901-011,2.03,MAT154
1902-016,2.03,MAT154
1903-026,2.03,MAT154
1904-053,2.03,MAT154
1905-030,2.03,MAT154
1905-095,2.03,MAT154
1907-015,2.03,MAT154
1908-022,2.03,MAT154
1909-021,2.03,MAT154
1909-074,2.03,MAT154
1910-051,2.03,MAT154
1911-021,2.03,MAT154
1912-029,2.03,MAT154
1912-081,2.03,MAT154
2002-004,2.19,MAT154
2002-052,2.19,MAT154
2003-032,2.19,MAT154
2005-030,2.19,MAT154
2007-009,2.19,MAT154
2007-058,2.19,MAT154
2008-055,2.19,MAT154
2009-035,2.19,MAT154
2010-013,2.19,MAT154
2011-003,2.19,MAT154
2012-029,2.19,MAT154
2101-020,2.43,MAT154
2103-031,2.43,MAT154
2103-047,2.43,MAT154
2104-011,2.43,MAT154
2104-069,2.43,MAT154
2105-103,2.43,MAT154
2106-056,2.43,MAT154
2106-099,2.43,MAT154
2107-032,2.43,MAT154
2107-070,2.43,MAT154
2108-074,2.43,MAT154
2109-043,2.43,MAT154
2109-103,2.43,MAT154
2110-106,2.43,MAT154
2111-097,2.43,MAT154
2111-172,2.43,MAT154
2112-062,2.43,MAT154
2201-107,2.43,MAT154
2203-045,3.0,MAT154
2203-092,3.0,MAT154
2203-167,3.0,MAT154
2204-023,3.0,MAT154
2205-021,3.0,MAT154
2206-004,3.0,MAT154
2206-096,3.0,MAT154
2207-106,3.0,MAT154
2208-025,3.0,MAT154
2209-008,3.0,MAT154
2209-132,3.0,MAT154
2210-081,3.0,MAT154
2211-056,3.0,MAT154
2211-120,3.0,MAT154
2212-069,3.0,MAT154
2301-050,3.0,MAT154
2302-008,3.0,MAT154
2303-022,3.0,MAT154
2303-096,3.0,MAT154
2304-092,3.0,MAT154
2305-072,3.0,MAT154
2306-026,3.0,MAT154
2306-140,3.0,MAT154
2307-076,3.0,MAT154
2308-029,3.0,MAT154
2309-018,3.0,MAT154
2310-040,3.0,MAT154
2311-026,3.0,MAT154
2311-080,3.0,MAT154
2312-040,3.0,MAT154
2401-051,3.0,MAT154
2402-017,3.0,MAT154
2402-121,3.0,MAT154
2403-111,3.0,MAT154
2404-046,3.0,MAT154
2405-024,3.0,MAT154
2405-085,3.0,MAT154
2406-078,3.0,MAT154
2407-045,3.0,MAT154
2407-119,3.0,MAT154
2408-078,3.0,MAT154
2409-009,3.0,MAT154
2410-010,3.0,MAT154
2410-091,3.0,MAT154
2411-030,3.0,MAT154
2412-031,3.0,MAT154
2412-090,3.0,MAT154
2501-065,3.0,MAT154
2502-081,3.0,MAT154
2503-035,3.0,MAT154
2503-123,3.0,MAT154
1909-018,2.651595744680851,MAT154
1902-031,2.1,MAT158
1903-024,2.6,MAT158
1907-039,2.33,MAT158
1908-017,3.0,MAT158
1909-041,3.12,MAT158
1909-079,3.12,MAT158
1910-076,3.45,MAT158
1910-116,3.45,MAT158
1912-020,3.56,MAT158
2007-065,3.1,MAT158
2008-004,3.1,MAT158
2008-061,3.08,MAT158
2102-039,2.93,MAT158
2104-060,2.97,MAT158
2105-101,3.25,MAT158
2107-030,3.02,MAT158
2107-088,2.85,MAT158
2108-009,2.2,MAT158
2108-071,2.2,MAT158
2109-094,2.2,MAT158
2111-011,2.2,MAT158
2112-159,2.2,MAT158
2202-045,2.8,MAT158
2203-058,2.5,MAT158
2205-010,3.0,MAT158
2206-051,2.75,MAT158
2207-010,2.75,MAT158
2208-085,2.75,MAT158
2209-035,2.75,MAT158
2210-023,2.75,MAT158
2211-021,2.75,MAT158
2211-108,2.88,MAT158
2301-038,2.88,MAT158
2302-089,3.15,MAT158
2303-084,3.65,MAT158
2305-009,3.65,MAT158
2305-106,3.65,MAT158
2306-131,3.65,MAT158
2307-105,3.65,MAT158
2308-013,3.65,MAT158
2311-032,3.65,MAT158
2311-118,3.65,MAT158
2402-049,3.65,MAT158
2403-097,3.65,MAT158
2404-031,3.65,MAT158
2405-019,3.55,MAT158
2405-066,3.55,MAT158
2406-090,3.55,MAT158
2407-003,3.55,MAT158
2407-114,3.55,MAT158
2409-021,3.55,MAT158
2410-009,3.55,MAT158
2501-053,3.2,MAT158
2502-113,3.14,MAT158
1910-020,17.5,MAT160
1910-092,17.5,MAT160
2011-002,17.5,MAT160
2011-040,17.5,MAT160
2111-134,20.5,MAT160
2111-135,20.5,MAT160
2305-060,56.0,MAT160
1907-030,3.86,MAT161
1908-011,3.51,MAT161
1908-034,3.51,MAT161
1909-046,3.51,MAT161
1909-078,3.51,MAT161
1909-096,3.44,MAT161
1910-106,3.44,MAT161
1911-013,3.44,MAT161
1911-055,3.44,MAT161
1911-070,3.79,MAT161
1912-006,3.97,MAT161
1912-021,3.97,MAT161
1912-043,3.97,MAT161
2001-005,3.97,MAT161
2002-037,3.97,MAT161
2004-005,3.97,MAT161
2005-026,3.37,MAT161
2006-015,3.37,MAT161
2006-041,3.37,MAT161
2009-032,3.26,MAT161
2011-008,2.91,MAT161
2011-055,3.37,MAT161
2011-068,2.91,MAT161
2012-028,2.91,MAT161
2107-054,3.33,MAT161
2107-081,3.33,MAT161
2110-104,3.15,MAT161
2111-065,3.17,MAT161
2201-126,3.2,MAT161
2204-091,4.09,MAT161
2210-017,4.1599,MAT161
2210-051,4.2699,MAT161
2211-121,4.27,MAT161
2305-075,5.06,MAT161
2306-050,4.88,MAT161
2308-059,4.88,MAT161
2312-045,4.96,MAT161
2405-064,4.75,MAT161
2406-072,4.95,MAT161
2410-026,4.55,MAT161
1908-009,3.793495,MAT161
1901-044,0.0,MAT163
1901-059,0.0,MAT163
1911-010,0.0,MAT163
2002-058,0.0,MAT163
1902-015,54.93,MAT164
1903-030,54.93,MAT164
1904-086,54.93,MAT164
1905-050,54.93,MAT164
1906-008,54.93,MAT164
1901-053,3.68,MAT166
1902-032,3.68,MAT166
1903-010,3.68,MAT166
1904-012,3.68,MAT166
1904-060,3.68,MAT166
1905-058,3.68,MAT166
1905-076,3.68,MAT166
1905-084,3.68,MAT166
1906-058,3.68,MAT166
1906-059,6.361,MAT166
1909-007,3.68,MAT166
1911-006,3.68,MAT166
1911-033,3.68,MAT166
1911-059,3.68,MAT166
1912-008,3.68,MAT166
1912-045,3.68,MAT166
2001-006,3.68,MAT166
2001-035,3.68,MAT166
2002-016,3.68,MAT166
2002-063,3.68,MAT166
2003-046,3.68,MAT166
2005-022,3.68,MAT166
2007-020,3.68,MAT166
2007-044,3.68,MAT166
2007-067,3.68,MAT166
2008-049,3.68,MAT166
2010-038,3.68,MAT166
2105-040,3.68,MAT166
2106-028,3.68,MAT166
2106-070,3.68,MAT166
2108-033,3.68,MAT166
2110-080,3.68,MAT166
2111-144,3.68,MAT166
2112-061,3.68,MAT166
2201-041,3.68,MAT166
2201-123,3.68,MAT166
2202-005,3.68,MAT166
2202-031,3.68,MAT166
2203-029,3.93,MAT166
2203-071,3.93,MAT166
2205-069,4.11,MAT166
2206-038,4.11,MAT166
2207-051,4.97,MAT166
2208-045,4.97,MAT166
2209-072,4.97,MAT166
2211-103,5.11,MAT166
2212-032,5.11,MAT166
2301-040,5.3,MAT166
2302-107,5.3,MAT166
2304-100,5.3,MAT166
2305-041,5.3,MAT166
2305-065,5.3,MAT166
2306-089,5.3,MAT166
2307-078,5.3,MAT166
2308-087,5.3,MAT166
2309-099,5.3,MAT166
2310-086,5.3,MAT166
2311-117,5.3,MAT166
2401-001,5.3,MAT166
2402-008,5.42,MAT166
2403-110,5.42,MAT166
2404-096,5.42,MAT166
2405-073,5.42,MAT166
2406-055,5.42,MAT166
2407-071,5.42,MAT166
2408-087,5.42,MAT166
2409-125,5.42,MAT166
2411-029,5.42,MAT166
2411-095,5.42,MAT166
2412-081,5.42,MAT166
2501-084,5.76,MAT166
2502-037,5.76,MAT166
2503-091,5.76,MAT166
1901-008,4.6,MAT167
1902-037,4.6,MAT167
1905-046,4.6,MAT167
1910-024,4.6,MAT167
1912-056,4.6,MAT167
1901-082,0.295,MAT168
1905-021,0.295,MAT168
2007-027,0.231,MAT168
2007-042,0.359,MAT169
1908-059,0.295,MAT170
1910-118,0.295,MAT170
2001-022,0.295,MAT170
2103-045,0.295,MAT170
2108-032,0.295,MAT170
1901-083,0.385,MAT172
1905-022,0.385,MAT172
1908-060,0.385,MAT172
1910-117,0.385,MAT172
2001-023,0.385,MAT172
2010-027,0.385,MAT172
2103-046,0.385,MAT172
1901-057,2.12,MAT173
1905-016,3.6785,MAT173
1906-044,2.45,MAT173
1907-027,0.598,MAT173
1909-043,0.5998,MAT173
2002-055,0.5998,MAT173
1901-019,1.82,MAT174
1901-039,1.82,MAT174
1901-070,1.7,MAT174
1902-030,1.7,MAT174
1902-075,1.7,MAT174
1903-055,1.7,MAT174
1906-011,1.8,MAT174
1908-014,1.8,MAT174
1909-050,1.95,MAT174
1909-077,1.95,MAT174
1909-089,1.95,MAT174
1910-004,1.95,MAT174
1910-028,1.95,MAT174
1910-080,2.55,MAT174
1911-061,2.55,MAT174
1911-094,1.95,MAT174
1912-025,1.95,MAT174
1912-042,1.95,MAT174
2001-001,1.95,MAT174
2001-015,1.95,MAT174
2002-035,1.95,MAT174
2107-034,2.0,MAT174
2110-113,2.0,MAT174
2111-066,2.0,MAT174
2111-090,2.0,MAT174
2202-002,2.0,MAT174
2204-079,2.0,MAT174
2204-113,2.03,MAT174
2208-066,2.1,MAT174
2210-026,2.1,MAT174
2211-135,2.3,MAT174
2305-090,2.95,MAT174
2306-071,2.8,MAT174
2308-080,2.8,MAT174
2312-043,2.9,MAT174
2405-067,2.9,MAT174
2406-080,2.9,MAT174
2408-081,2.9,MAT174
2410-025,2.2,MAT174
1905-010,8.3844,MAT176
1907-017,8.567,MAT176
1909-011,8.568,MAT176
1912-047,8.568,MAT176
2110-092,6.832,MAT176
2205-105,6.832,MAT176
1901-028,6.6,MAT178
1901-080,5.9,MAT178
1903-036,6.0,MAT178
1904-010,6.0,MAT178
1905-015,6.0,MAT178
1905-083,6.0,MAT178
1906-067,6.0,MAT178
1907-074,6.0,MAT178
1908-024,6.0,MAT178
1909-004,6.0,MAT178
1909-081,6.15,MAT178
1910-088,6.15,MAT178
1911-041,6.15,MAT178
2001-056,6.15,MAT178
2002-042,6.15,MAT178
2005-032,6.15,MAT178
2006-009,6.15,MAT178
2006-021,6.15,MAT178
2007-032,6.15,MAT178
2008-037,6.15,MAT178
2009-052,6.15,MAT178
2010-026,6.15,MAT178
2012-026,6.15,MAT178
2103-006,6.15,MAT178
2103-044,8.257,MAT178
2105-065,7.9574,MAT178
2105-087,7.957,MAT178
2106-052,7.9,MAT178
2106-103,7.9,MAT178
2107-103,7.9,MAT178
2108-047,7.957,MAT178
2108-089,7.9,MAT178
2109-130,7.957,MAT178
2110-034,7.957,MAT178
2111-002,7.957,MAT178
2111-056,7.957,MAT178
2111-157,7.957,MAT178
2112-018,7.957,MAT178
2112-060,7.957,MAT178
2112-109,7.957,MAT178
2201-003,7.957,MAT178
2201-027,7.957,MAT178
2201-066,7.957,MAT178
2202-118,8.657,MAT178
2203-017,8.657,MAT178
2203-069,8.657,MAT178
2203-122,9.257,MAT178
2205-062,9.657,MAT178
2206-024,9.657,MAT178
2208-062,9.657,MAT178
2209-067,9.657,MAT178
2210-069,9.657,MAT178
2212-001,9.657,MAT178
2212-050,9.657,MAT178
2301-019,9.657,MAT178
2301-069,9.657,MAT178
2302-101,9.657,MAT178
2303-076,9.657,MAT178
2303-091,9.657,MAT178
2305-039,9.657,MAT178
2305-105,10.1,MAT178
2306-051,10.1,MAT178
2307-016,10.1,MAT178
2307-081,10.1,MAT178
2308-064,10.1,MAT178
2309-081,10.1,MAT178
2310-076,10.1,MAT178
2311-098,10.1,MAT178
2312-060,10.1,MAT178
2401-002,10.1,MAT178
2401-093,10.1,MAT178
2402-050,10.1,MAT178
2403-002,10.1,MAT178
2403-118,10.1,MAT178
2404-029,10.1,MAT178
2405-003,10.1,MAT178
2405-116,10.1,MAT178
2406-063,10.1,MAT178
2407-048,10.1,MAT178
2408-073,10.1,MAT178
2409-022,10.1,MAT178
2410-007,10.1,MAT178
2411-042,10.1,MAT178
2411-114,10.1,MAT178
2412-055,10.1,MAT178
2501-087,10.1,MAT178
2502-038,10.1,MAT178
2503-001,10.1,MAT178
2504-008,10.1,MAT178
1910-121,4.636,MAT180
