lote_interno,coste_componente_unitario,componente
1912-044,0.2396,MAT017
2104-052,0.2204,MAT017
2111-122,0.2244,MAT017
2111-158,0.2244,MAT017
2201-082,0.2416,MAT017
2202-095,0.2416,MAT017
2203-155,0.2416,MAT017
2204-041,0.2416,MAT017
2204-055,0.2416,MAT017
2206-045,0.2416,MAT017
2207-061,0.2416,MAT017
2208-050,0.2416,MAT017
2209-023,0.2416,MAT017
2209-124,0.2416,MAT017
2210-070,0.2589,MAT017
2211-041,0.2589,MAT017
2212-019,0.2589,MAT017
2212-041,0.2589,MAT017
2301-031,0.2589,MAT017
2302-035,0.2589,MAT017
2303-037,0.2848,MAT017
2305-019,0.2848,MAT017
2305-125,0.2848,MAT017
2306-095,0.2848,MAT017
2307-039,0.2848,MAT017
2307-102,0.2848,MAT017
2309-107,0.2848,MAT017
2311-036,0.2848,MAT017
2311-089,0.2848,MAT017
2312-033,0.2848,MAT017
2402-027,0.2848,MAT017
2402-114,0.2848,MAT017
2404-017,0.2848,MAT017
2405-095,0.2848,MAT017
2406-008,0.2848,MAT017
2408-033,0.2848,MAT017
2410-029,0.2848,MAT017
2412-010,0.2848,MAT017
2501-016,0.2848,MAT017
2503-093,0.2848,MAT017
1912-032,0.26111304347826086,MAT017
1906-057,9.48,MAT018
1907-016,8.014,MAT018
1910-033,9.482,MAT018
1910-037,7.77,MAT018
2106-029,7.003,MAT018
2109-177,7.003,MAT018
2111-146,7.003,MAT018
2112-123,9.335,MAT018
2203-013,9.335,MAT018
2203-133,9.335,MAT018
2210-086,9.335,MAT018
2404-012,9.005,MAT018
2411-017,12.855,MAT018
1902-065,6.9,MAT019
1904-085,6.9,MAT019
1905-064,6.9,MAT019
1906-025,6.9,MAT019
1907-054,6.9,MAT019
1908-006,6.9,MAT019
1909-088,6.9,MAT019
1911-058,6.9,MAT019
1912-041,6.9,MAT019
1912-082,6.9,MAT019
2001-063,6.9,MAT019
2003-005,6.9,MAT019
2003-014,6.9,MAT019
2010-016,6.9,MAT019
1901-005,0.577,MAT020
1901-015,0.693,MAT020
1901-031,0.693,MAT020
1901-047,0.693,MAT020
1901-066,0.69,MAT020
1902-040,0.6933,MAT020
1903-022,0.56,MAT020
1903-039,0.6933,MAT020
1904-083,0.693,MAT020
1905-019,0.6933,MAT020
1905-061,0.6933,MAT020
1906-004,0.6933,MAT020
1906-072,0.6933,MAT020
1907-032,0.6933,MAT020
1907-063,0.6724,MAT020
1908-019,0.56,MAT020
1908-053,0.56,MAT020
1908-072,0.56,MAT020
1909-101,0.59,MAT020
1910-010,0.56,MAT020
1910-035,0.56,MAT020
1911-017,0.56,MAT020
1912-049,0.56,MAT020
1912-092,0.56,MAT020
2001-044,0.5613,MAT020
2001-071,0.5613,MAT020
2005-028,0.5613,MAT020
2007-036,0.5612,MAT020
2008-023,0.5613,MAT020
2009-019,0.5613,MAT020
2009-021,0.5613,MAT020
2009-029,0.5613,MAT020
2103-054,0.5613,MAT020
2105-067,0.5614,MAT020
2304-101,1.12,MAT020
2306-013,1.12,MAT020
2308-042,1.12,MAT020
2309-111,1.12,MAT020
2310-045,1.12,MAT020
2310-081,1.12,MAT020
2311-041,1.12,MAT020
2312-001,1.12,MAT020
2401-021,1.12,MAT020
2401-082,1.12,MAT020
2402-124,1.12,MAT020
2403-021,1.12,MAT020
2404-022,1.12,MAT020
2404-100,1.12,MAT020
2405-037,1.12,MAT020
2407-001,1.12,MAT020
2407-067,1.12,MAT020
2408-017,1.12,MAT020
2408-058,1.12,MAT020
2409-067,1.12,MAT020
2410-071,1.12,MAT020
2412-039,1.12,MAT020
2501-085,1.12,MAT020
2502-004,1.12,MAT020
2502-105,1.12,MAT020
2503-041,1.12,MAT020
2503-078,1.12,MAT020
2503-122,1.12,MAT020
2504-037,1.12,MAT020
1901-017,1.8878,MAT021
1901-033,1.888,MAT021
1901-050,1.888,MAT021
1901-071,1.888,MAT021
1902-025,1.8878,MAT021
1902-027,1.8878,MAT021
1902-059,1.8878,MAT021
1902-067,1.888,MAT021
1903-016,1.888,MAT021
1903-027,1.888,MAT021
1903-054,1.888,MAT021
1904-016,1.8878,MAT021
1904-021,1.8878,MAT021
1904-051,1.8878,MAT021
1905-007,1.888,MAT021
1905-029,1.888,MAT021
1905-048,1.888,MAT021
1905-074,1.888,MAT021
1905-094,1.888,MAT021
1906-016,1.888,MAT021
1906-028,1.888,MAT021
1906-051,1.888,MAT021
1907-019,1.37,MAT021
1907-022,1.37,MAT021
1907-038,1.37,MAT021
1907-056,1.37,MAT021
1908-018,1.37,MAT021
1908-025,1.37,MAT021
1908-043,1.37,MAT021
1908-052,1.37,MAT021
1908-071,1.37,MAT021
1909-023,1.37,MAT021
1909-034,1.37,MAT021
1909-067,1.37,MAT021
1909-090,1.37,MAT021
1910-034,1.37,MAT021
1910-068,1.37,MAT021
