articulo,lote_proveedor,lote_interno,linea
FCAR019,010721,010721,PRODUCTO ACABADO
FCAR031,010721,010721,PRODUCTO ACABADO
SEM060,010721,010721,SEMIELABORADO
FCAR024,010721,010721,PRODUCTO ACABADO
FPOS005,010721,010721,PRODUCTO ACABADO
FPES005,010721,010721,PRODUCTO ACABADO
SEM005,010721,010721,SEMIELABORADO
SCRE041,010722,010722,PRODUCTO ACABADO
SCRE050,010722,010722,PRODUCTO ACABADO
SCRE038,010722,010722,PRODUCTO ACABADO
ELAB005,010722,010722,PRODUCTO ACABADO
SEM088,010722,010722,SEMIELABORADO
SCRE051,010722,010722,PRODUCTO ACABADO
FPOS009,010722,010722,PRODUCTO ACABADO
SEM085,010722,010722,SEMIELABORADO
FCAR011,010722,010722,PRODUCTO ACABADO
SEM086,010722,010722,SEMIELABORADO
FCAR001,010722,010722,PRODUCTO ACABADO
FCAR008,010723,010723,PRODUCTO ACABADO
SEM107,010723,010723,SEMIELABORADO
SEM096,010723,010723,SEMIELABORADO
SCRE010,010724,010724,PRODUCTO ACABADO
SCRE068,010724,010724,PRODUCTO ACABADO
SEM095,010724,010724,SEMIELABORADO
SEM123,010724,010724,SEMIELABORADO
SCRE049,010724,010724,PRODUCTO ACABADO
FPES001,010724,010724,PRODUCTO ACABADO
SEM096,010724,010724,SEMIELABORADO
FPOS010,010724,010724,PRODUCTO ACABADO
SCRE048,010724,010724,PRODUCTO ACABADO
SCRE036,010724,010724,PRODUCTO ACABADO
FCAR007,010819,010819,PRODUCTO ACABADO
FCAR001,010819,010819,PRODUCTO ACABADO
SCRE010,010822,010822,PRODUCTO ACABADO
SCRE048,010822,010822,PRODUCTO ACABADO
SCRE049,010822,010822,PRODUCTO ACABADO
FCAR024,010822,010822,PRODUCTO ACABADO
SEM085,010822,010822,SEMIELABORADO
FCAR031,010823,010823,PRODUCTO ACABADO
SEM082,010823,010823,SEMIELABORADO
FPOS015,010823,010823,PRODUCTO ACABADO
SEM096,010823,010823,SEMIELABORADO
SEM085,010823,010823,SEMIELABORADO
FCAR019,010824,010824,PRODUCTO ACABADO
SCRE047,010824,010824,PRODUCTO ACABADO
SCRE068,010824,010824,PRODUCTO ACABADO
SEM005,010824,010824,SEMIELABORADO
SEM129,010824,010824,SEMIELABORADO
FPOS009,010824,010824,PRODUCTO ACABADO
SCRE069,010824,010824,PRODUCTO ACABADO
SEM109,010824,010824,SEMIELABORADO
SEM126,010824,010824,SEMIELABORADO
SEM125,010824,010824,SEMIELABORADO
FGUA001,010920,010920,PRODUCTO ACABADO
FPOS005,010920,010920,PRODUCTO ACABADO
FTAR002,010920,010920,PRODUCTO ACABADO
FCAR019,010921,010921,PRODUCTO ACABADO
SCRE010,010921,010921,PRODUCTO ACABADO
SEM093,010921,010921,SEMIELABORADO
SCRE034,010921,010921,PRODUCTO ACABADO
SEM005,010921,010921,SEMIELABORADO
SEM088,010922,010922,SEMIELABORADO
FCAR001,010922,010922,PRODUCTO ACABADO
SEM087,010922,010922,SEMIELABORADO
SEM086,010922,010922,SEMIELABORADO
FTAR002,010922,010922,PRODUCTO ACABADO
FPOS005,010922,010922,PRODUCTO ACABADO
SCRE041,010922,010922,PRODUCTO ACABADO
SCRE052,010922,010922,PRODUCTO ACABADO
SCRE038,010922,010922,PRODUCTO ACABADO
SCRE047,010922,010922,PRODUCTO ACABADO
SEM005,010922,010922,SEMIELABORADO
FCAR019,010922,010922,PRODUCTO ACABADO
SCRE061,010923,010923,PRODUCTO ACABADO
SEM118,010923,010923,SEMIELABORADO
SEM099,010923,010923,SEMIELABORADO
FPES001,010923,010923,PRODUCTO ACABADO
FCAR001,010923,010923,PRODUCTO ACABADO
FCAR005,011019,011019,PRODUCTO ACABADO
FCAR003,011019,011019,PRODUCTO ACABADO
FCAR007,011019,011019,PRODUCTO ACABADO
FGRA001,011019,011019,PRODUCTO ACABADO
FCAR008,011020,011020,PRODUCTO ACABADO
FCAR001,011020,011020,PRODUCTO ACABADO
FGUA001,011020,011020,PRODUCTO ACABADO
SEM086,011021,011021,SEMIELABORADO
SEM088,011021,011021,SEMIELABORADO
SCRE025,011021,011021,PRODUCTO ACABADO
SCRE021,011021,011021,PRODUCTO ACABADO
SCRE033,011021,011021,PRODUCTO ACABADO
FCAR001,011021,011021,PRODUCTO ACABADO
SCRE038,011021,011021,PRODUCTO ACABADO
SCRE020,011021,011021,PRODUCTO ACABADO
SEM053,011021,011021,SEMIELABORADO
SEM075,011021,011021,SEMIELABORADO
SEM047,011021,011021,SEMIELABORADO
SEM096,011024,011024,SEMIELABORADO
FCAR024,011024,011024,PRODUCTO ACABADO
SEM102,011024,011024,SEMIELABORADO
FCAR002,011024,011024,PRODUCTO ACABADO
