articulo,lote_proveedor,lote_componente,clave_unica
SCRE035,091221,091221,SCRE035-091221
SCRE038,091221,091221,SCRE038-091221
SCRE033,091221,091221,SCRE033-091221
SEM086,091221,091221,SEM086-091221
SEM078,091221,091221,SEM078-091221
FGUA001,091221,091221,FGUA001-091221
SEM077,091221,091221,SEM077-091221
SEM076,091221,091221,SEM076-091221
SCRE034,091221,091221,SCRE034-091221
SCRE025,091221,091221,SCRE025-091221
SEM087,091221,091221,SEM087-091221
SCRE010,091221,091221,SCRE010-091221
SEM088,091221,091221,SEM088-091221
SCCO007,091221,091221,SCCO007-091221
SEM095,091222,091222,SEM095-091222
SCRE038,091222,091222,SCRE038-091222
SCRE050,091222,091222,SCRE050-091222
SEM075,091222,091222,SEM075-091222
SEM088,091222,091222,SEM088-091222
FCAR019,091222,091222,FCAR019-091222
SEM101,091222,091222,SEM101-091222
SEM005,091222,091222,SEM005-091222
SEM086,091222,091222,SEM086-091222
SEM076,091222,091222,SEM076-091222
SCRE051,091222,091222,SCRE051-091222
SEM085,091222,091222,SEM085-091222
SCRE049,091224,091224,SCRE049-091224
SCRE048,091224,091224,SCRE048-091224
SCRE010,091224,091224,SCRE010-091224
SEM095,091224,091224,SEM095-091224
FCAR047,091224,091224,FCAR047-091224
SCRE036,091224,091224,SCRE036-091224
MAT037,0921218,0921218,MAT037-0921218
MAT021,0941218,0941218,MAT021-0941218
MAT045,0951218,0951218,MAT045-0951218
MAT015,0961118,0961118,MAT015-0961118
MAT035,0991218,0991218,MAT035-0991218
FPOS012,100120,100120,FPOS012-100120
FCAR001,100120,100120,FCAR001-100120
SEM001,100120,100120,SEM001-100120
SCCO002,100120,100120,SCCO002-100120
MAT160,1001218,1001218,MAT160-1001218
SCRE035,100122,100122,SCRE035-100122
SEM072,100122,100122,SEM072-100122
SCRE010,100122,100122,SCRE010-100122
ELAB005,100122,100122,ELAB005-100122
SCRE034,100122,100122,SCRE034-100122
SEM058,100122,100122,SEM058-100122
SCCO007,100122,100122,SCCO007-100122
FPOS010,100122,100122,FPOS010-100122
FPER032,100123,100123,FPER032-100123
SEM085,100123,100123,SEM085-100123
SCCO009,100123,100123,SCCO009-100123
FCAR012,100123,100123,FCAR012-100123
SCRE036,100123,100123,SCRE036-100123
SCRE049,100124,100124,SCRE049-100124
SCRE010,100124,100124,SCRE010-100124
SEM083,100124,100124,SEM083-100124
FPOS015,100124,100124,FPOS015-100124
SEM085,100124,100124,SEM085-100124
SCRE036,100124,100124,SCRE036-100124
SEM084,100125,100125,SEM084-100125
FCAR008,100125,100125,FCAR008-100125
MAT111,10021527,10021527,MAT111-10021527
MAT109,10021535,10021535,MAT109-10021535
MAT108,10021557,10021557,MAT108-10021557
MAT110,10021572,10021572,MAT110-10021572
FPES004,100220,100220,FPES004-100220
FGUA005,100220,100220,FGUA005-100220
FPES004,10/02/2020,100220,FPES004-100220
FPOS012,100220,100220,FPOS012-100220
FCAR016,100220,100220,FCAR016-100220
SCRE010,100221,100221,SCRE010-100221
SCRE019,100221,100221,SCRE019-100221
SEM056,100221,100221,SEM056-100221
FAR006,100221,100221,FAR006-100221
SEM060,100221,100221,SEM060-100221
SCRE036,100222,100222,SCRE036-100222
SEM085,100222,100222,SEM085-100222
FCAR008,100223,100223,FCAR008-100223
FCAR007,100223,100223,FCAR007-100223
SEM053,100223,100223,SEM053-100223
SEM046,100223,100223,SEM046-100223
SCRE054,100223,100223,SCRE054-100223
SCRE036,100223,100223,SCRE036-100223
SEM085,100223,100223,SEM085-100223
FCAR015,100224,100224,FCAR015-100224
SEM108,100224,100224,SEM108-100224
SEM103,100224,100224,SEM103-100224
SEM078,100224,100224,SEM078-100224
FCAR048,100224,100224,FCAR048-100224
SCRE010,100225,100225,SCRE010-100225
SCRE049,100225,100225,SCRE049-100225
SCRE046,100225,100225,SCRE046-100225
FPREM001,100225,100225,FPREM001-100225
SCRE036,100225,100225,SCRE036-100225
SEM129,100225,100225,SEM129-100225
SCRE048,100225,100225,SCRE048-100225
SCRE047,100225,100225,SCRE047-100225
SEM082,100225,100225,SEM082-100225
FPOS009,100225,100225,FPOS009-100225
SEM005,100320,100320,SEM005-100320
SEM001,100320,100320,SEM001-100320
FCAR006,100320,100320,FCAR006-100320
FCAR005,100320,100320,FCAR005-100320
FCAR004,100320,100320,FCAR004-100320
FPOS009,100320,100320,FPOS009-100320
FCAR031,100320,100320,FCAR031-100320
SCCO002,100321,100321,SCCO002-100321
SCRE010,100321,100321,SCRE010-100321
SEM076,100322,100322,SEM076-100322
FCAR007,100322,100322,FCAR007-100322
SCRE046,100322,100322,SCRE046-100322
SEM053,100322,100322,SEM053-100322
SCRE047,100322,100322,SCRE047-100322
SEM065,100322,100322,SEM065-100322
SCRE038,100322,100322,SCRE038-100322
SEM077,100322,100322,SEM077-100322
SEM086,100322,100322,SEM086-100322
SEM088,100322,100322,SEM088-100322
SCRE032,100322,100322,SCRE032-100322
SCRE056,100323,100323,SCRE056-100323
SEM086,100323,100323,SEM086-100323
SCRE036,100323,100323,SCRE036-100323
SCCO007,100323,100323,SCCO007-100323
SEM088,100323,100323,SEM088-100323
SCRE055,100323,100323,SCRE055-100323
SEM076,100323,100323,SEM076-100323
SEM005,100324,100324,SEM005-100324
FCAR003,100325,100325,FCAR003-100325
SCRE010,100325,100325,SCRE010-100325
SEM123,100325,100325,SEM123-100325
SCRE068,100325,100325,SCRE068-100325
SCRE048,100325,100325,SCRE048-100325
SCRE049,100325,100325,SCRE049-100325
SCRE036,100325,100325,SCRE036-100325
SEM101,100325,100325,SEM101-100325
SEM095,100325,100325,SEM095-100325
FPOS010,100325,100325,FPOS010-100325
FCAR047,100325,100325,FCAR047-100325
SCRE047,100325,100325,SCRE047-100325
SCRE046,100325,100325,SCRE046-100325
FCAR001,100419,100419,FCAR001-100419
FPOS005,100419,100419,FPOS005-100419
FCAR039,100419,100419,FCAR039-100419
SEM020,100419,100419,SEM020-100419
FCAR018,100419,100419,FCAR018-100419
FCAR014,100419,100419,FCAR014-100419
SCRE007,100419,100419,SCRE007-100419
FCAR004,100419,100419,FCAR004-100419
SCRE036,100423,100423,SCRE036-100423
FCAR031,100424,100424,FCAR031-100424
SCRE046,100424,100424,SCRE046-100424
SCRE049,100424,100424,SCRE049-100424
SCRE048,100424,100424,SCRE048-100424
FPOS005,100424,100424,FPOS005-100424
FPER032,100424,100424,FPER032-100424
SCRE010,100424,100424,SCRE010-100424
SEM082,100424,100424,SEM082-100424
SEM127,100424,100424,SEM127-100424
FPOS008,100519,100519,FPOS008-100519
FCAR034,100519,100519,FCAR034-100519
FCAR018,100519,100519,FCAR018-100519
FCAR013,100519,100519,FCAR013-100519
SEM005,100519,100519,SEM005-100519
FPER017,100519,100519,FPER017-100519
SEM003,100519,100519,SEM003-100519
FCAR008,100521,100521,FCAR008-100521
SEM070,100521,100521,SEM070-100521
SCRE010,100521,100521,SCRE010-100521
SEM047,100521,100521,SEM047-100521
SCRE019,100521,100521,SCRE019-100521
FCAR041,100521,100521,FCAR041-100521
FPOS005,100521,100521,FPOS005-100521
FPER032,100521,100521,FPER032-100521
SEM047,100522,100522,SEM047-100522
FCAR016,100522,100522,FCAR016-100522
FCAR015,100522,100522,FCAR015-100522
FCAR011,100522,100522,FCAR011-100522
SEM085,100522,100522,SEM085-100522
FCAR007,100522,100522,FCAR007-100522
FPER050,100522,100522,FPER050-100522
FCAR012,100522,100522,FCAR012-100522
SEM078,100522,100522,SEM078-100522
SEM005,100522,100522,SEM005-100522
SEM101,100523,100523,SEM101-100523
FPOS009,100523,100523,FPOS009-100523
SEM103,100523,100523,SEM103-100523
SCRE048,100523,100523,SCRE048-100523
SCRE036,100523,100523,SCRE036-100523
FPES004,100523,100523,FPES004-100523
FCAR016,100523,100523,FCAR016-100523
SCRE049,100523,100523,SCRE049-100523
SEM085,100523,100523,SEM085-100523
FCAR015,100523,100523,FCAR015-100523
SEM099,100524,100524,SEM099-100524
SEM123,100524,100524,SEM123-100524
FCAR047,100524,100524,FCAR047-100524
SEM095,100524,100524,SEM095-100524
FTAR001,100524,100524,FTAR001-100524
FPOS010,100524,100524,FPOS010-100524
FCAR007,100619,100619,FCAR007-100619
FGRA001,100619,100619,FGRA001-100619
FCAR002,100619,100619,FCAR002-100619
FPER018,100620,100620,FPER018-100620
SEM046,100621,100621,SEM046-100621
SEM058,100621,100621,SEM058-100621
FPOS009,100621,100621,FPOS009-100621
SEM015,100621,100621,SEM015-100621
SEM088,100622,100622,SEM088-100622
SCCO007,100622,100622,SCCO007-100622
SEM086,100622,100622,SEM086-100622
SCRE038,100622,100622,SCRE038-100622
SCRE036,100622,100622,SCRE036-100622
SCRE050,100622,100622,SCRE050-100622
SCRE051,100622,100622,SCRE051-100622
FAR011,100622,100622,FAR011-100622
FCAR039,100623,100623,FCAR039-100623
SEM071,100624,100624,SEM071-100624
SCRE048,100624,100624,SCRE048-100624
SCRE036,100624,100624,SCRE036-100624
SCRE010,100624,100624,SCRE010-100624
FCAR008,100624,100624,FCAR008-100624
SCRE049,100624,100624,SCRE049-100624
SEM101,100624,100624,SEM101-100624
FCAR005,100719,100719,FCAR005-100719
FPOS005,100719,100719,FPOS005-100719
SEM032,100719,100719,SEM032-100719
FGRA001,100719,100719,FGRA001-100719
FCAR006,100719,100719,FCAR006-100719
FCAR029,100719,100719,FCAR029-100719
FCAR003,100719,100719,FCAR003-100719
FCAR008,100720,100720,FCAR008-100720
FCAR005,100720,100720,FCAR005-100720
FCAR006,100720,100720,FCAR006-100720
FCAR001,100721,100721,FCAR001-100721
FGUA001,100721,100721,FGUA001-100721
FCAR008,100721,100721,FCAR008-100721
SCRE049,100723,100723,SCRE049-100723
SCRE010,100723,100723,SCRE010-100723
FCAR002,100723,100723,FCAR002-100723
FCAR024,100723,100723,FCAR024-100723
SEM101,100723,100723,SEM101-100723
SCRE036,100723,100723,SCRE036-100723
SEM102,100723,100723,SEM102-100723
SCRE068,100724,100724,SCRE068-100724
SCRE049,100724,100724,SCRE049-100724
SCRE036,100724,100724,SCRE036-100724
ELAB005,100724,100724,ELAB005-100724
SEM127,100724,100724,SEM127-100724
SCRE010,100724,100724,SCRE010-100724
SCRE048,100724,100724,SCRE048-100724
FPOS005,100724,100724,FPOS005-100724
FCAR002,100820,100820,FCAR002-100820
FCAR020,100820,100820,FCAR020-100820
FCAR031,100820,100820,FCAR031-100820
SCRE019,100821,100821,SCRE019-100821
FCAR015,100821,100821,FCAR015-100821
FCAR001,100821,100821,FCAR001-100821
FCAR016,100821,100821,FCAR016-100821
SEM046,100821,100821,SEM046-100821
FCAR018,100821,100821,FCAR018-100821
FPOS009,100821,100821,FPOS009-100821
FPOS005,100821,100821,FPOS005-100821
SCRE010,100822,100822,SCRE010-100822
SCRE049,100822,100822,SCRE049-100822
SEM085,100822,100822,SEM085-100822
SCRE036,100822,100822,SCRE036-100822
SCRE048,100822,100822,SCRE048-100822
SCRE045,100822,100822,SCRE045-100822
FCAR003,100822,100822,FCAR003-100822
FPOS009,100822,100822,FPOS009-100822
SCRE044,100822,100822,SCRE044-100822
SCRE061,100823,100823,SCRE061-100823
SCRE059,100823,100823,SCRE059-100823
SEM113,100823,100823,SEM113-100823
SEM116,100823,100823,SEM116-100823
SCRE042,100823,100823,SCRE042-100823
SCRE046,100823,100823,SCRE046-100823
SEM117,100823,100823,SEM117-100823
SCRE062,100823,100823,SCRE062-100823
FTAR003,100823,100823,FTAR003-100823
FCAR031,100823,100823,FCAR031-100823
SCRE060,100823,100823,SCRE060-100823
SEM118,100823,100823,SEM118-100823
SCCO002,100919,100919,SCCO002-100919
FCAR007,100919,100919,FCAR007-100919
FPOS005,100920,100920,FPOS005-100920
FPES001,100920,100920,FPES001-100920
FCAR008,100920,100920,FCAR008-100920
ELAB005,100920,100920,ELAB005-100920
SEM058,100921,100921,SEM058-100921
SEM064,100921,100921,SEM064-100921
SCRE025,100921,100921,SCRE025-100921
FPES004,100921,100921,FPES004-100921
SCRE026,100921,100921,SCRE026-100921
FCAR007,100922,100922,FCAR007-100922
SEM072,100923,100923,SEM072-100923
SEM100,100924,100924,SEM100-100924
SCRE068,100924,100924,SCRE068-100924
SEM127,100924,100924,SEM127-100924
FPOS005,100924,100924,FPOS005-100924
SEM046,100924,100924,SEM046-100924
FCAR007,101019,101019,FCAR007-101019
FPOS005,101019,101019,FPOS005-101019
FCAR005,101019,101019,FCAR005-101019
FCAR018,101019,101019,FCAR018-101019
FCAR006,101019,101019,FCAR006-101019
FCAR024,101022,101022,FCAR024-101022
SCRE045,101022,101022,SCRE045-101022
FCAR002,101022,101022,FCAR002-101022
FCAR031,101022,101022,FCAR031-101022
FCAR003,101022,101022,FCAR003-101022
FPOS009,101022,101022,FPOS009-101022
SCRE049,101022,101022,SCRE049-101022
SEM085,101022,101022,SEM085-101022
SCRE048,101022,101022,SCRE048-101022
SCRE036,101022,101022,SCRE036-101022
SCRE010,101022,101022,SCRE010-101022
SEM110,101023,101023,SEM110-101023
SEM121,101023,101023,SEM121-101023
SEM085,101023,101023,SEM085-101023
SCRE049,101023,101023,SCRE049-101023
SCRE048,101023,101023,SCRE048-101023
SCRE036,101023,101023,SCRE036-101023
FPOS010,101024,101024,FPOS010-101024
SCRE036,101024,101024,SCRE036-101024
SEM112,101024,101024,SEM112-101024
SEM099,101024,101024,SEM099-101024
SEM123,101024,101024,SEM123-101024
FCAR030,101024,101024,FCAR030-101024
SEM085,101024,101024,SEM085-101024
MAT082,1011118,1011118,MAT082-1011118
SCRE008,101120,101120,SCRE008-101120
SEM054,101120,101120,SEM054-101120
SCRE007,101120,101120,SCRE007-101120
SEM020,101120,101120,SEM020-101120
SEM019,101120,101120,SEM019-101120
FPOS009,101120,101120,FPOS009-101120
SEM082,101121,101121,SEM082-101121
SCRE037,101121,101121,SCRE037-101121
FPOS009,101121,101121,FPOS009-101121
SEM078,101121,101121,SEM078-101121
FCAR016,101121,101121,FCAR016-101121
FPER035,101121,101121,FPER035-101121
SCRE036,101121,101121,SCRE036-101121
SEM046,101121,101121,SEM046-101121
SEM087,101121,101121,SEM087-101121
SEM065,101121,101121,SEM065-101121
SEM089,101121,101121,SEM089-101121
FCAR015,101121,101121,FCAR015-101121
SCRE026,101121,101121,SCRE026-101121
SCRE046,101122,101122,SCRE046-101122
SCRE053,101122,101122,SCRE053-101122
SEM076,101122,101122,SEM076-101122
SCRE036,101122,101122,SCRE036-101122
FCAR031,101122,101122,FCAR031-101122
SCRE047,101122,101122,SCRE047-101122
FPOS005,101122,101122,FPOS005-101122
SCRE052,101122,101122,SCRE052-101122
SEM087,101122,101122,SEM087-101122
SEM096,101122,101122,SEM096-101122
SEM075,101122,101122,SEM075-101122
SCRE038,101122,101122,SCRE038-101122
SEM074,101122,101122,SEM074-101122
SEM086,101122,101122,SEM086-101122
SEM088,101122,101122,SEM088-101122
SEM103,101123,101123,SEM103-101123
FCAR019,101123,101123,FCAR019-101123
FCAR015,101123,101123,FCAR015-101123
FPOS010,101123,101123,FPOS010-101123
FCAR048,101123,101123,FCAR048-101123
SEM108,101123,101123,SEM108-101123
SEM005,101123,101123,SEM005-101123
FCAR008,101123,101123,FCAR008-101123
FCAR007,101123,101123,FCAR007-101123
FPOS016,101123,101123,FPOS016-101123
SEM100,101124,101124,SEM100-101124
FPOS009,101219,101219,FPOS009-101219
FPES002,101219,101219,FPES002-101219
FPES003,101219,101219,FPES003-101219
FPES001,101219,101219,FPES001-101219
FCAR031,101219,101219,FCAR031-101219
FCAR008,101219,101219,FCAR008-101219
FPOS005,101220,101220,FPOS005-101220
SCRE010,101220,101220,SCRE010-101220
FPER032,101220,101220,FPER032-101220
FCAR015,101220,101220,FCAR015-101220
FCAR016,101220,101220,FCAR016-101220
SEM004,101220,101220,SEM004-101220
SCRE026,101221,101221,SCRE026-101221
SCCO008,101221,101221,SCCO008-101221
SCRE037,101221,101221,SCRE037-101221
FTAR001,101221,101221,FTAR001-101221
SCRE019,101221,101221,SCRE019-101221
SEM046,101221,101221,SEM046-101221
SEM072,101221,101221,SEM072-101221
SEM089,101221,101221,SEM089-101221
ELAB005,101223,101223,ELAB005-101223
FPOS009,101223,101223,FPOS009-101223
SCRE046,101223,101223,SCRE046-101223
FCAR012,101224,101224,FCAR012-101224
FCAR008,101224,101224,FCAR008-101224
SEM105,101224,101224,SEM105-101224
FCAR011,101224,101224,FCAR011-101224
SEM123,101224,101224,SEM123-101224
SEM085,101224,101224,SEM085-101224
MAT004,10142066,10142066,MAT004-10142066
MAT003,10143931,10143931,MAT003-10143931
MAT005,10148941,10148941,MAT005-10148941
MAT033,1021218,1021218,MAT033-1021218
MAT077,10218,10218,MAT077-10218
MAT010,10258*100717,10258*100717,MAT010-10258*100717
MAT099,1031018,1031018,MAT099-1031018
MAT022,1041118,1041118,MAT022-1041118
MAT055,1041218,1041218,MAT055-1041218
MAT077,1051118,1051118,MAT077-1051118
MAT028,1051218,1051218,MAT028-1051218
MAT056,1071218,1071218,MAT056-1071218
FPOS010,110121,110121,FPOS010-110121
SEM047,110121,110121,SEM047-110121
FCAR031,110121,110121,FCAR031-110121
SCRE010,110121,110121,SCRE010-110121
SCRE019,110121,110121,SCRE019-110121
FCAR024,110121,110121,FCAR024-110121
MAT035,1101218,1101218,MAT035-1101218
SCCO009,110122,110122,SCCO009-110122
FPOS009,110122,110122,FPOS009-110122
SEM085,110122,110122,SEM085-110122
FCAR039,110122,110122,FCAR039-110122
SEM065,110122,110122,SEM065-110122
SEM015,110123,110123,SEM015-110123
FCAR019,110123,110123,FCAR019-110123
SCRE044,110123,110123,SCRE044-110123
SEM005,110123,110123,SEM005-110123
SEM085,110123,110123,SEM085-110123
SCRE049,110123,110123,SCRE049-110123
FPOS005,110123,110123,FPOS005-110123
SCRE010,110123,110123,SCRE010-110123
FPOS010,110124,110124,FPOS010-110124
SEM113,110124,110124,SEM113-110124
SCRE063,110124,110124,SCRE063-110124
SEM111,110124,110124,SEM111-110124
SCRE047,110124,110124,SCRE047-110124
SCCO010,110124,110124,SCCO010-110124
SCRE062,110124,110124,SCRE062-110124
SEM117,110124,110124,SEM117-110124
FGUA005,110124,110124,FGUA005-110124
SCRE046,110124,110124,SCRE046-110124
SEM047,110125,110125,SEM047-110125
FCAR047,110125,110125,FCAR047-110125
SEM095,110125,110125,SEM095-110125
SEM015,110219,110219,SEM015-110219
FCAR002,110219,110219,FCAR002-110219
FGRA001,110219,110219,FGRA001-110219
FCAR001,110219,110219,FCAR001-110219
FGUA001,110220,110220,FGUA001-110220
FPES004,110220,110220,FPES004-110220
FCAR041,110220,110220,FCAR041-110220
FCAR031,110220,110220,FCAR031-110220
FPOS010,110220,110220,FPOS010-110220
SEM059,110221,110221,SEM059-110221
SEM058,110221,110221,SEM058-110221
SEM085,110222,110222,SEM085-110222
SEM088,110222,110222,SEM088-110222
SEM087,110222,110222,SEM087-110222
SCRE046,110222,110222,SCRE046-110222
SCRE038,110222,110222,SCRE038-110222
SCRE037,110222,110222,SCRE037-110222
SEM086,110222,110222,SEM086-110222
SEM089,110222,110222,SEM089-110222
SEM077,110222,110222,SEM077-110222
SCRE042,110222,110222,SCRE042-110222
SCRE032,110222,110222,SCRE032-110222
SEM073,110222,110222,SEM073-110222
SCRE047,110222,110222,SCRE047-110222
SCRE068,110225,110225,SCRE068-110225
SEM133,110225,110225,SEM133-110225
FPOS015,110320,110320,FPOS015-110320
SEM004,110320,110320,SEM004-110320
SCRE006,110320,110320,SCRE006-110320
SEM020,110320,110320,SEM020-110320
FCAR001,110320,110320,FCAR001-110320
SCRE009,110320,110320,SCRE009-110320
FCAR015,110320,110320,FCAR015-110320
SCRE007,110320,110320,SCRE007-110320
FPER035,110320,110320,FPER035-110320
SCRE005,110320,110320,SCRE005-110320
FGRA002,110320,110320,FGRA002-110320
FPOS005,110320,110320,FPOS005-110320
SCRE008,110320,110320,SCRE008-110320
SCCO007,110322,110322,SCCO007-110322
SEM087,110322,110322,SEM087-110322
SEM089,110322,110322,SEM089-110322
SCRE036,110322,110322,SCRE036-110322
FCAR003,110322,110322,FCAR003-110322
SCRE037,110322,110322,SCRE037-110322
SCRE044,110323,110323,SCRE044-110323
SCRE010,110324,110324,SCRE010-110324
SCRE036,110324,110324,SCRE036-110324
SCRE048,110324,110324,SCRE048-110324
SEM053,110324,110324,SEM053-110324
FCAR002,110324,110324,FCAR002-110324
SEM085,110324,110324,SEM085-110324
SEM102,110324,110324,SEM102-110324
SCRE049,110324,110324,SCRE049-110324
FCAR046,110325,110325,FCAR046-110325
SEM096,110325,110325,SEM096-110325
SEM099,110325,110325,SEM099-110325
SEM129,110325,110325,SEM129-110325
SEM085,110325,110325,SEM085-110325
FPOS009,110325,110325,FPOS009-110325
SEM005,110419,110419,SEM005-110419
FCAR019,110419,110419,FCAR019-110419
SEM017,110419,110419,SEM017-110419
FPES002,110419,110419,FPES002-110419
FCAR008,110419,110419,FCAR008-110419
FCAR013,110419,110419,FCAR013-110419
FPOS010,110419,110419,FPOS010-110419
SCRE049,110422,110422,SCRE049-110422
SCRE044,110422,110422,SCRE044-110422
SEM096,110422,110422,SEM096-110422
FCAR007,110422,110422,FCAR007-110422
SEM085,110422,110422,SEM085-110422
SCRE036,110422,110422,SCRE036-110422
SCRE010,110422,110422,SCRE010-110422
SEM058,110423,110423,SEM058-110423
SCRE048,110423,110423,SCRE048-110423
SEM096,110423,110423,SEM096-110423
SEM047,110423,110423,SEM047-110423
SCRE049,110423,110423,SCRE049-110423
SCRE010,110423,110423,SCRE010-110423
FPOS005,110423,110423,FPOS005-110423
SCRE070,110424,110424,SCRE070-110424
SEM125,110424,110424,SEM125-110424
SCRE036,110424,110424,SCRE036-110424
SEM124,110424,110424,SEM124-110424
SCRE058,110424,110424,SCRE058-110424
SEM113,110424,110424,SEM113-110424
SCRE047,110424,110424,SCRE047-110424
FTAR003,110424,110424,FTAR003-110424
FPOS009,110424,110424,FPOS009-110424
SEM095,110424,110424,SEM095-110424
FCAR003,110424,110424,FCAR003-110424
FCAR047,110424,110424,FCAR047-110424
SCRE069,110424,110424,SCRE069-110424
MAT010,110517,110517,MAT010-110517
FCAR008,110519,110519,FCAR008-110519
FAR002,110520,110520,FAR002-110520
FAR003,110520,110520,FAR003-110520
FAR001,110520,110520,FAR001-110520
SEM067,110521,110521,SEM067-110521
SCRE027,110521,110521,SCRE027-110521
FAR004,110521,110521,FAR004-110521
SCRE028,110521,110521,SCRE028-110521
SCRE029,110521,110521,SCRE029-110521
FCAR011,110521,110521,FCAR011-110521
FPOS009,110522,110522,FPOS009-110522
SEM073,110522,110522,SEM073-110522
FAR009,110522,110522,FAR009-110522
SCRE044,110522,110522,SCRE044-110522
FGUA001,110522,110522,FGUA001-110522
FCAR044,110522,110522,FCAR044-110522
SCRE010,110522,110522,SCRE010-110522
SCRE049,110522,110522,SCRE049-110522
SCRE036,110522,110522,SCRE036-110522
SCCO008,110523,110523,SCCO008-110523
FCAR031,110523,110523,FCAR031-110523
SEM109,110523,110523,SEM109-110523
FPOS005,110523,110523,FPOS005-110523
FCAR008,110523,110523,FCAR008-110523
FCAR007,110523,110523,FCAR007-110523
SEM100,110523,110523,SEM100-110523
FCAR031,110619,110619,FCAR031-110619
FCAR008,110619,110619,FCAR008-110619
FPOS009,110619,110619,FPOS009-110619
FCAR018,110619,110619,FCAR018-110619
FCAR017,110619,110619,FCAR017-110619
FPOS005,110619,110619,FPOS005-110619
FCAR037,110619,110619,FCAR037-110619
FCAR020,110619,110619,FCAR020-110619
SCRE025,110621,110621,SCRE025-110621
SCRE031,110621,110621,SCRE031-110621
SCRE026,110621,110621,SCRE026-110621
SCRE033,110621,110621,SCRE033-110621
SEM074,110621,110621,SEM074-110621
SEM075,110621,110621,SEM075-110621
SCRE022,110621,110621,SCRE022-110621
SEM077,110621,110621,SEM077-110621
SCRE032,110621,110621,SCRE032-110621
SEM076,110621,110621,SEM076-110621
SCRE021,110621,110621,SCRE021-110621
FPOS010,110622,110622,FPOS010-110622
SEM095,110622,110622,SEM095-110622
SEM085,110624,110624,SEM085-110624
FCAR046,110624,110624,FCAR046-110624
SEM105,110624,110624,SEM105-110624
SEM096,110624,110624,SEM096-110624
FCAR011,110624,110624,FCAR011-110624
FCAR012,110624,110624,FCAR012-110624
FPOS009,110719,110719,FPOS009-110719
FTAR001,110719,110719,FTAR001-110719
FCAR012,110719,110719,FCAR012-110719
FCAR011,110719,110719,FCAR011-110719
FCAR014,110719,110719,FCAR014-110719
FAR010,110720,110720,FAR010-110720
FAR004,110720,110720,FAR004-110720
SCRE045,110722,110722,SCRE045-110722
SCRE044,110722,110722,SCRE044-110722
SEM085,110722,110722,SEM085-110722
FCAR024,110722,110722,FCAR024-110722
FCAR002,110722,110722,FCAR002-110722
SCRE048,110722,110722,SCRE048-110722
SCRE036,110722,110722,SCRE036-110722
SCRE010,110722,110722,SCRE010-110722
SCRE049,110722,110722,SCRE049-110722
SEM104,110723,110723,SEM104-110723
SCRE054,110723,110723,SCRE054-110723
ELAB005,110723,110723,ELAB005-110723
SCRE036,110723,110723,SCRE036-110723
FCAR018,110723,110723,FCAR018-110723
SCRE046,110724,110724,SCRE046-110724
SEM124,110724,110724,SEM124-110724
SEM125,110724,110724,SEM125-110724
SEM040,110724,110724,SEM040-110724
SCRE070,110724,110724,SCRE070-110724
SEM082,110724,110724,SEM082-110724
SCRE069,110724,110724,SCRE069-110724
SCRE047,110724,110724,SCRE047-110724
FPOS010,110820,110820,FPOS010-110820
FPER047,110820,110820,FPER047-110820
FAR005,110820,110820,FAR005-110820
FTAR002,110820,110820,FTAR002-110820
SCRE010,110821,110821,SCRE010-110821
FCAR011,110821,110821,FCAR011-110821
FCAR012,110821,110821,FCAR012-110821
FPOS010,110821,110821,FPOS010-110821
FAR009,110821,110821,FAR009-110821
FAR011,110821,110821,FAR011-110821
FCAR016,110822,110822,FCAR016-110822
FCAR015,110822,110822,FCAR015-110822
SEM058,110822,110822,SEM058-110822
SEM046,110822,110822,SEM046-110822
SEM053,110822,110822,SEM053-110822
FPOS005,110822,110822,FPOS005-110822
SEM078,110822,110822,SEM078-110822
SEM084,110823,110823,SEM084-110823
SEM053,110823,110823,SEM053-110823
SEM047,110823,110823,SEM047-110823
SEM099,110823,110823,SEM099-110823
SCRE036,110823,110823,SCRE036-110823
FPOS009,110823,110823,FPOS009-110823
SEM085,110823,110823,SEM085-110823
SEM047,110824,110824,SEM047-110824
SEM085,110824,110824,SEM085-110824
FCAR011,110919,110919,FCAR011-110919
FPER035,110919,110919,FPER035-110919
FCAR019,110919,110919,FCAR019-110919
SEM005,110919,110919,SEM005-110919
FCAR012,110919,110919,FCAR012-110919
FAR010,110920,110920,FAR010-110920
SCRE020,110921,110921,SCRE020-110921
SEM074,110921,110921,SEM074-110921
SEM075,110921,110921,SEM075-110921
FCAR008,110921,110921,FCAR008-110921
SCRE021,110921,110921,SCRE021-110921
SCRE031,110921,110921,SCRE031-110921
SCRE033,110921,110921,SCRE033-110921
SCRE016,110921,110921,SCRE016-110921
FCAR019,110922,110922,FCAR019-110922
SEM005,110922,110922,SEM005-110922
FCAR008,110922,110922,FCAR008-110922
SCRE010,110923,110923,SCRE010-110923
FCAR008,110923,110923,FCAR008-110923
SCRE049,110923,110923,SCRE049-110923
SCRE036,110923,110923,SCRE036-110923
SCRE048,110923,110923,SCRE048-110923
FPOS016,110923,110923,FPOS016-110923
FCAR008,110924,110924,FCAR008-110924
SCRE049,110924,110924,SCRE049-110924
SCRE048,110924,110924,SCRE048-110924
SCRE010,110924,110924,SCRE010-110924
SCRE036,110924,110924,SCRE036-110924
FPOS010,111019,111019,FPOS010-111019
FCAR020,111019,111019,FCAR020-111019
FCAR011,111019,111019,FCAR011-111019
