componente,coste_componente_unitario,lote_componente
MAT037,10.5,1904-003
MAT036,3.5,1904-004
MAT062,1.0,1904-005
MAT063,1.5,1904-006
MAT030,0.6,1904-007
MAT038,4.5,1904-008
MAT067,10.6,1904-009
MAT178,6.0,1904-010
MAT074,4.8333,1904-011
MAT166,3.68,1904-012
MAT048,5.8,1904-013
MAT048,5.8,1904-014
MAT034,6.5,1904-015
MAT021,1.8878,1904-016
MAT132,8.2,1904-017
MAT132,8.2,1904-018
MAT112,5.9,1904-019
MAT040,1.95,1904-020
MAT021,1.8878,1904-021
MAT030,0.54,1904-022
MAT042,3.8,1904-023
MAT187,3.95,1904-024
MAT038,4.5,1904-025
MAT113,2.85,1904-026
MAT044,3.8,1904-027
MAT034,5.9,1904-028
MAT035,5.6,1904-029
MAT119,3.19,1904-030
MAT070,30.0,1904-031
MAT121,6.3187,1904-032
VAR119,0.0835,1904-033
MAT068,5.0,1904-034
MAT068,14.95,1904-035
MAT068,16.15,1904-036
MAT099,7.1896,1904-038
MAT027,0.8,1904-039
MAT189,1.65,1904-040
MAT036,3.5,1904-041
MAT058,5.75,1904-042
MAT038,4.5,1904-043
MAT188,0.8983,1904-044
MAT055,9.333,1904-045
MAT057,1.026,1904-047
MAT185,3.45,1904-048
MAT191,6.7444,1904-050
MAT021,1.8878,1904-051
MAT048,5.8,1904-052
MAT154,2.03,1904-053
MAT074,4.8333,1904-054
VAR134,0.0835,1904-055
VAR122,5.03,1904-056
MAT041,1.8,1904-057
MAT033,0.5328,1904-058
MAT073,0.8452,1904-059
MAT166,3.68,1904-060
MAT130,3.25,1904-061
MAT129,3.65,1904-062
MAT037,10.5,1904-063
MAT046,4.95,1904-064
MAT192,5.48,1904-065
MAT193,17.1935,1904-066
MAT137,5.07,1904-067
MAT050,3.15,1904-068
MAT133,9.5,1904-069
MAT071,5.92,1904-070
MAT057,1.0218,1904-071
MAT189,1.65,1904-072
MAT048,5.8,1904-073
MAT042,3.8,1904-074
MAT09,658.8,1904-075
MAT186,2.33,1904-076
MAT128,6.2486,1904-077
MAT191,6.74,1904-078
MAT190,1.5384,1904-079
MAT188,1.259,1904-080
VAR142,0.3294,1904-081
MAT075,6.9576,1904-082
MAT020,0.693,1904-083
MAT057,1.0218,1904-084
MAT019,6.9,1904-085
MAT164,54.93,1904-086
MAT039,20.0,1904-087
MAT139,7.72,1904-088
MAT035,5.6,1905-001
MAT033,0.5328,1905-002
MAT073,0.8452,1905-003
MAT035,5.7,1905-004
MAT185,3.45,1905-005
VAR056,17.5,1905-006
MAT021,1.888,1905-007
MAT190,2.1375,1905-008
MAT146,0.0832,1905-009
MAT176,8.3844,1905-010
MAT038,4.75,1905-011
MAT048,5.5,1905-012
MAT058,5.75,1905-013
MAT119,3.19,1905-014
MAT178,6.0,1905-015
MAT173,3.6785,1905-016
MAT041,1.68,1905-017
MAT101,0.68,1905-018
MAT020,0.6933,1905-019
MAT013,2.147,1905-020
MAT168,0.295,1905-021
MAT172,0.385,1905-022
MAT037,10.5,1905-023
MAT036,3.8,1905-024
MAT069,1.3,1905-025
MAT068,14.75,1905-026
MAT068,5.0,1905-027
MAT068,13.65,1905-028
MAT021,1.888,1905-029
MAT154,2.03,1905-030
VAR119,0.0835,1905-031
MAT147,0.0277,1905-032
MAT048,5.4,1905-033
MAT073,0.8452,1905-034
MAT033,0.5328,1905-035
MAT104,0.0423,1905-036
MAT105,1.69,1905-038
MAT057,1.0218,1905-039
MAT134,6.5,1905-040
MAT043,2.4,1905-041
MAT038,4.95,1905-042
MAT183,0.0205,1905-043
MAT053,4.964,1905-044
MAT035,5.33,1905-045
MAT167,4.6,1905-046
MAT035,5.6,1905-047
MAT021,1.888,1905-048
MAT045,3.781,1905-049
MAT164,54.93,1905-050
MAT035,5.88,1905-051
MAT112,5.9,1905-052
MAT120,5.891,1905-053
MAT132,8.33,1905-054
MAT036,3.5,1905-055
MAT101,0.68,1905-056
MAT015,3.0,1905-057
MAT166,3.68,1905-058
MAT013,2.147,1905-059
MAT057,1.0218,1905-060
MAT020,0.6933,1905-061
MAT067,10.7,1905-062
MAT011,2.4,1905-063
MAT019,6.9,1905-064
MAT048,5.5,1905-065
MAT014,6.5,1905-066
MAT014,10.0,1905-067
MAT037,10.5,1905-068
MAT038,4.5,1905-069
MAT068,14.2,1905-071
MAT040,2.05,1905-072
MAT036,5.754,1905-073
MAT021,1.888,1905-074
MAT035,5.5,1905-075
MAT166,3.68,1905-076
MAT187,3.95,1905-077
MAT073,0.8452,1905-078
MAT033,0.5328,1905-079
MAT048,5.2,1905-080
MAT035,5.5,1905-081
MAT132,8.33,1905-082
MAT178,6.0,1905-083
MAT166,3.68,1905-084
MAT039,20.0,1905-085
MAT113,3.05,1905-086
MAT071,5.92,1905-087
MAT075,7.5,1905-088
MAT035,5.6,1905-089
MAT068,13.55,1905-090
MAT068,5.0,1905-091
MAT068,14.0,1905-092
MAT137,5.07,1905-093
MAT021,1.888,1905-094
MAT154,2.03,1905-095
MAT026,50.54,1905-096
MAT189,1.65,1906-001
MAT033,0.5328,1906-002
MAT013,2.147,1906-003
MAT020,0.6933,1906-004
MAT057,1.0218,1906-005
MAT048,5.4,1906-006
MAT182,4.1,1906-007
MAT164,54.93,1906-008
MAT038,4.5,1906-009
MAT043,2.4,1906-010
MAT174,1.8,1906-011
MAT035,5.6,1906-012
MAT040,2.1,1906-013
MAT042,3.8,1906-014
MAT039,20.0,1906-015
MAT021,1.888,1906-016
MAT045,3.7818,1906-017
VAR142,0.3376,1906-018
MAT007,0.0,1906-019
MAT006,0.0,1906-020
MAT011,2.4,1906-021
MAT038,4.5,1906-022
MAT099,8.0883,1906-023
MAT011,2.4,1906-024
MAT019,6.9,1906-025
MAT048,5.1,1906-026
MAT004,0.0774,1906-027
MAT021,1.888,1906-028
MAT042,3.8,1906-029
MAT038,4.5,1906-030
MAT035,5.5,1906-031
MAT189,1.65,1906-032
MAT104,0.0423,1906-033
MAT033,0.5328,1906-034
MAT073,0.8452,1906-035
MAT191,6.07,1906-036
MAT188,1.259,1906-037
MAT101,0.68,1906-038
MAT139,7.72,1906-039
MAT057,1.0218,1906-040
MAT190,1.354,1906-041
MAT197,8.5096,1906-042
MAT039,20.0,1906-043
MAT173,2.45,1906-044
MAT034,6.5,1906-045
MAT068,5.0,1906-046
MAT068,16.3,1906-047
MAT121,6.3187,1906-048
MAT043,2.4,1906-049
MAT190,1.5384,1906-050
MAT021,1.888,1906-051
MAT016,205.5395,1906-052
MAT037,10.5,1906-053
MAT036,3.5,1906-054
MAT038,4.5,1906-056
MAT018,9.48,1906-057
MAT166,3.68,1906-058
MAT166,6.361,1906-059
MAT055,12.586,1906-060
MAT043,2.4,1906-061
MAT039,20.0,1906-062
MAT183,0.0205,1906-063
MAT027,1.086,1906-064
MAT013,3.2,1906-065
MAT132,8.33,1906-066
MAT178,6.0,1906-067
MAT113,3.2,1906-068
MAT042,3.8,1906-069
MAT035,5.6,1906-070
MAT013,2.147,1906-071
MAT020,0.6933,1906-072
MAT057,1.0218,1906-073
MAT196,0.088,1906-074
MAT198,23.8,1906-075
VAR142,0.3376,1907-001
MAT187,3.5,1907-002
MAT041,1.68,1907-003
MAT038,4.5,1907-004
MAT073,0.8452,1907-005
MAT033,0.5328,1907-006
MAT073,0.8452,1907-007
MAT033,0.5328,1907-008
MAT015,3.0,1907-009
MAT014,6.499,1907-010
MAT014,10.0,1907-011
MAT014,25.0,1907-012
MAT013,2.147,1907-013
MAT057,1.0218,1907-014
MAT154,2.03,1907-015
MAT018,8.014,1907-016
MAT176,8.567,1907-017
VAR119,0.0835,1907-018
MAT021,1.37,1907-019
VAR123,5.111,1907-021
MAT021,1.37,1907-022
MAT035,5.9,1907-023
MAT101,0.74,1907-024
MAT033,0.558,1907-025
MAT173,0.598,1907-027
MAT128,12.04,1907-028
MAT195,0.0,1907-029
MAT161,3.86,1907-030
MAT013,2.147,1907-031
MAT020,0.6933,1907-032
MAT057,1.0218,1907-033
MAT068,13.85,1907-034
MAT068,14.05,1907-035
MAT068,5.0,1907-036
MAT039,20.0,1907-037
MAT021,1.37,1907-038
MAT158,2.33,1907-039
MAT030,0.6,1907-040
MAT041,1.68,1907-041
MAT035,5.8,1907-042
MAT035,5.5,1907-043
MAT104,0.0423,1907-044
MAT038,4.5,1907-045
VAR142,0.278,1907-046
VAR129,0.48,1907-047
VAR056,17.5,1907-048
MAT035,5.7,1907-049
MAT035,5.8,1907-050
MAT067,10.5,1907-051
MAT101,0.78,1907-052
MAT133,9.5,1907-053
MAT019,6.9,1907-054
MAT129,6.5184,1907-055
MAT021,1.37,1907-056
MAT058,6.09,1907-057
MAT035,5.5,1907-058
MAT017,0.2396,1907-059
MAT068,13.3,1907-060
MAT068,5.0,1907-061
MAT035,5.9,1907-062
MAT020,0.6724,1907-063
MAT183,0.0205,1907-064
MAT129,3.65,1907-065
MAT130,3.25,1907-066
MAT035,5.8,1907-067
MAT132,8.33,1907-068
MAT037,10.5,1907-069
MAT045,3.7818,1907-071
MAT041,1.68,1907-072
MAT013,2.147,1907-073
MAT178,6.0,1907-074
MAT101,0.78,1907-075
MAT038,4.5,1907-076
MAT187,3.5,1907-077
MAT071,6.05,1907-078
MAT113,3.1,1908-001
MAT113,2.1,1908-002
MAT048,4.0,1908-003
MAT042,3.8,1908-004
MAT099,8.0883,1908-005
MAT019,6.9,1908-006
MAT034,6.6,1908-007
MAT035,5.8,1908-008
MAT161,5.98,1908-009
MAT075,7.5,1908-010
MAT161,3.51,1908-011
MAT048,5.3,1908-012
MAT035,5.7,1908-013
MAT174,1.8,1908-014
MAT073,0.8452,1908-015
MAT033,0.65,1908-016
MAT158,3.0,1908-017
MAT021,1.37,1908-018
MAT020,0.56,1908-019
MAT226,1.65,1908-020
MAT154,2.03,1908-022
MAT074,2.9,1908-023
MAT178,6.0,1908-024
MAT021,1.37,1908-025
MAT038,4.5,1908-026
MAT069,2.35,1908-027
MAT034,7.53,1908-028
MAT039,20.0,1908-029
MAT104,0.0423,1908-030
MAT033,0.65,1908-031
MAT017,0.2396,1908-032
MAT043,1.65,1908-033
MAT161,3.51,1908-034
MAT068,5.0,1908-035
MAT068,12.3,1908-036
MAT041,1.68,1908-037
MAT067,11.6,1908-038
MAT057,1.0218,1908-039
MAT013,2.147,1908-040
MAT112,4.5,1908-041
MAT137,5.13,1908-042
MAT021,1.37,1908-043
MAT057,1.0218,1908-044
VAR119,0.0835,1908-045
MAT147,0.0277,1908-046
MAT033,0.65,1908-047
MAT073,0.8452,1908-048
MAT038,4.5,1908-049
MAT039,20.0,1908-050
MAT037,10.5,1908-051
MAT021,1.37,1908-052
MAT020,0.56,1908-053
MAT132,8.33,1908-054
MAT057,1.0218,1908-055
MAT027,1.06,1908-056
MAT099,7.1896,1908-057
MAT039,20.0,1908-058
MAT170,0.295,1908-059
MAT172,0.385,1908-060
MAT195,0.0,1908-061
MAT014,6.5,1908-062
MAT014,10.0,1908-063
MAT067,11.3,1908-064
MAT013,2.147,1908-065
MAT057,1.0218,1908-066
MAT038,4.5,1908-067
MAT183,0.0205,1908-068
MAT014,24.0,1908-069
MAT044,3.8,1908-070
MAT021,1.37,1908-071
MAT020,0.56,1908-072
MAT104,0.036,1909-001
MAT195,1.0,1909-002
MAT058,6.09,1909-003
MAT178,6.0,1909-004
MAT101,0.78,1909-005
MAT074,7.8916,1909-006
MAT166,3.68,1909-007
MAT068,12.1,1909-008
MAT068,5.0,1909-009
MAT197,0.5592,1909-010
MAT176,8.568,1909-011
MAT134,6.5,1909-012
MAT030,0.4,1909-013
MAT063,2.1,1909-014
MAT062,0.9,1909-015
MAT112,5.9,1909-016
MAT035,5.9,1909-017
MAT154,7.71,1909-018
MAT038,4.5,1909-019
MAT071,6.05,1909-020
MAT154,2.03,1909-021
MAT074,4.8333,1909-022
MAT021,1.37,1909-023
MAT034,7.53,1909-024
MAT033,0.611,1909-025
MAT073,0.7184,1909-026
MAT119,3.19,1909-027
MAT227,3.45,1909-028
MAT041,1.82,1909-029
MAT042,3.5,1909-030
MAT043,2.4,1909-031
MAT057,1.0218,1909-032
MAT044,3.8,1909-033
MAT021,1.37,1909-034
VAR118,0.255,1909-035
MAT113,3.1,1909-036
MAT013,2.147,1909-037
VAR142,0.278,1909-038
MAT099,0.0,1909-039
MAT181,10.37,1909-040
MAT158,3.12,1909-041
MAT128,12.04,1909-042
MAT173,0.5998,1909-043
MAT037,10.5,1909-044
MAT067,11.6,1909-045
MAT161,3.51,1909-046
MAT043,2.4,1909-047
MAT187,3.95,1909-048
MAT038,5.2,1909-049
MAT174,1.95,1909-050
MAT042,3.5,1909-051
MAT101,0.78,1909-052
MAT075,7.5,1909-053
MAT024,38.1,1909-054
MAT054,1.4914,1909-055
MAT080,16.346,1909-056
MAT068,10.65,1909-057
MAT068,5.0,1909-058
MAT132,8.33,1909-059
MAT147,0.0277,1909-060
MAT035,5.7,1909-061
MAT056,1.0272,1909-062
VAR125,0.27,1909-063
MAT048,5.4,1909-064
MAT026,0.5054,1909-065
MAT046,4.95,1909-066
MAT021,1.37,1909-067
MAT132,8.33,1909-068
MAT035,5.9,1909-069
MAT034,6.8,1909-070
MAT040,2.12,1909-071
MAT041,1.82,1909-072
MAT013,4.8,1909-073
MAT154,2.03,1909-074
MAT067,10.284,1909-075
MAT038,5.2,1909-076
MAT174,1.95,1909-077
MAT161,3.51,1909-078
MAT158,3.12,1909-079
MAT195,1.0,1909-080
MAT178,6.15,1909-081
MAT013,2.147,1909-082
MAT121,6.8183,1909-083
MAT048,5.4,1909-084
VAR128,1.64,1909-085
MAT043,2.5,1909-086
MAT011,2.4,1909-087
MAT019,6.9,1909-088
MAT174,1.95,1909-089
MAT021,1.37,1909-090
MAT227,3.45,1909-091
MAT104,0.0423,1909-092
MAT073,0.8452,1909-093
MAT033,0.65,1909-094
MAT017,0.2396,1909-095
MAT161,3.44,1909-096
VAR112,0.006,1909-097
VAR113,0.0108,1909-098
MAT183,0.0205,1909-099
MAT035,5.7,1909-100
MAT020,0.59,1909-101
MAT039,20.0,1910-001
MAT197,0.4904,1910-002
MAT039,18.5,1910-003
MAT174,1.95,1910-004
MAT048,4.0,1910-005
MAT071,6.05,1910-006
MAT057,1.073,1910-007
MAT113,3.1,1910-008
MAT069,2.26,1910-009
MAT020,0.56,1910-010
MAT068,10.5,1910-011
MAT025,40.08,1910-012
MAT039,20.0,1910-013
MAT015,3.0,1910-014
MAT014,10.0,1910-015
MAT014,6.5,1910-016
VAR119,0.0835,1910-017
MAT041,1.82,1910-018
MAT041,1.96,1910-019
MAT160,17.5,1910-020
MAT050,2.7,1910-021
MAT057,1.165,1910-022
MAT013,2.223,1910-023
MAT167,4.6,1910-024
MAT048,5.4,1910-025
MAT040,2.12,1910-026
MAT041,0.0,1910-027
MAT174,1.95,1910-028
MAT228,2.4,1910-029
MAT067,11.85,1910-030
MAT042,3.8,1910-031
MAT195,0.0,1910-032
MAT018,9.482,1910-033
MAT021,1.37,1910-034
MAT020,0.56,1910-035
MAT146,0.0832,1910-036
MAT018,7.77,1910-037
MAT041,1.82,1910-038
MAT041,1.96,1910-039
MAT037,10.5,1910-040
MAT041,1.96,1910-041
MAT104,0.0423,1910-042
MAT033,0.7192,1910-043
MAT073,0.8452,1910-044
MAT195,1.0,1910-045
MAT038,5.2,1910-046
MAT187,3.5,1910-047
MAT101,0.78,1910-048
MAT057,1.165,1910-049
MAT013,2.147,1910-050
MAT154,2.03,1910-051
MAT074,4.8333,1910-052
MAT022,2.35,1910-053
MAT222,5.754,1910-054
MAT050,2.5,1910-055
MAT132,8.33,1910-056
VAR310,1.795,1910-057
VAR309,1.795,1910-058
MAT048,5.5,1910-059
MAT041,1.66,1910-060
MAT112,5.9,1910-061
MAT040,2.12,1910-062
VAR128,0.56,1910-063
MAT068,5.0,1910-064
MAT068,11.45,1910-065
MAT128,12.04,1910-066
MAT035,5.7,1910-067
MAT021,1.37,1910-068
MAT045,3.7818,1910-069
MAT016,220.1328,1910-070
MAT061,364.9,1910-071
MAT059,2.95,1910-072
MAT058,6.09,1910-073
MAT038,5.0,1910-074
MAT113,3.1,1910-075
MAT158,3.45,1910-076
MAT041,1.9,1910-077
MAT187,2.1,1910-078
MAT040,2.45,1910-079
MAT174,2.55,1910-080
MAT027,0.8,1910-081
MAT075,7.7318,1910-082
MAT125,43.75,1910-084
MAT058,6.09,1910-085
MAT050,1.9,1910-086
MAT048,5.6,1910-087
MAT178,6.15,1910-088
MAT129,3.65,1910-089
MAT130,3.375,1910-090
MAT035,5.9,1910-091
MAT160,17.5,1910-092
MAT039,19.0,1910-093
MAT039,23.5,1910-094
MAT034,6.8,1910-095
MAT035,5.9,1910-096
MAT035,5.95,1910-097
MAT099,7.1896,1910-098
MAT137,5.13,1910-099
MAT045,3.7817,1910-100
MAT021,1.37,1910-101
MAT038,5.2,1910-102
MAT060,0.676,1910-103
MAT036,3.5,1910-104
MAT037,10.5,1910-105
MAT161,3.44,1910-106
MAT028,5.7136,1910-107
MAT046,4.95,1910-108
MAT101,0.78,1910-109
MAT050,1.7,1910-110
MAT048,5.45,1910-111
MAT057,1.073,1910-112
MAT056,1.165,1910-113
MAT013,2.223,1910-114
MAT013,2.147,1910-115
MAT158,3.45,1910-116
MAT172,0.385,1910-117
MAT170,0.295,1910-118
VAR315,1.1079,1910-119
MAT181,10.37,1910-120
MAT180,4.636,1910-121
MAT014,10.0,1910-122
MAT035,5.9,1910-123
MAT195,1.0,1910-124
MAT104,0.036,1911-001
MAT033,0.676,1911-002
MAT073,0.7184,1911-003
MAT028,5.5866,1911-004
MAT046,4.95,1911-005
MAT166,3.68,1911-006
MAT083,18.9,1911-007
MAT080,3.95,1911-008
MAT050,1.5,1911-009
MAT163,0.0,1911-010
VAR142,0.278,1911-011
MAT067,11.85,1911-012
MAT161,3.44,1911-013
MAT013,2.147,1911-014
MAT068,11.6,1911-015
MAT021,1.37,1911-016
MAT020,0.56,1911-017
MAT035,5.9,1911-018
MAT035,5.9,1911-019
MAT021,1.37,1911-020
MAT154,2.03,1911-021
MAT032,3.599,1911-022
MAT185,4.8,1911-023
MAT147,0.0277,1911-024
VAR122,5.03,1911-025
MAT228,2.4,1911-026
MAT038,5.2,1911-027
MAT119,3.19,1911-028
MAT227,3.15,1911-029
MAT035,5.8,1911-030
MAT229,18.605,1911-031
MAT046,4.95,1911-032
MAT166,3.68,1911-033
MAT075,7.5,1911-034
MAT101,0.78,1911-035
MAT023,20.0,1911-036
MAT054,3.1,1911-037
MAT226,1.65,1911-038
MAT015,3.0,1911-039
MAT132,8.33,1911-040
MAT178,6.15,1911-041
MAT182,4.1,1911-042
MAT037,10.5,1911-043
MAT036,3.5,1911-044
MAT081,3.35,1911-045
MAT132,8.33,1911-046
MAT039,23.5,1911-047
MAT042,3.8,1911-048
MAT112,5.9,1911-049
MAT035,5.7,1911-050
MAT186,2.23,1911-051
MAT183,0.0205,1911-052
MAT128,12.04,1911-053
VAR119,0.0835,1911-054
MAT161,3.44,1911-055
MAT035,7.85,1911-056
MAT040,2.2,1911-057
MAT019,6.9,1911-058
MAT166,3.68,1911-059
MAT187,3.5,1911-060
MAT174,2.55,1911-061
MAT113,3.1,1911-062
MAT013,2.147,1911-063
MAT035,5.9,1911-064
MAT101,0.78,1911-065
MAT137,5.13,1911-066
MAT099,7.1896,1911-067
MAT183,0.0205,1911-068
MAT041,1.66,1911-069
MAT161,3.79,1911-070
MAT038,5.0,1911-071
MAT071,6.05,1911-072
MAT089,5.705,1911-073
MAT037,10.5,1911-074
MAT045,3.7818,1911-075
MAT229,18.605,1911-076
MAT011,2.4,1911-077
MAT101,0.78,1911-078
MAT040,2.2,1911-079
MAT034,6.8,1911-080
MAT035,5.9,1911-081
MAT013,2.147,1911-082
MAT057,1.165,1911-083
MAT139,13.692,1911-084
MAT186,2.025,1911-085
MAT185,4.8,1911-086
MAT228,2.4,1911-087
MAT044,4.66,1911-088
MAT013,2.147,1911-089
MAT056,1.165,1911-090
MAT068,5.0,1911-091
MAT068,14.05,1911-092
MAT023,20.0,1911-093
MAT174,1.95,1911-094
MAT028,5.8,1911-095
MAT021,1.37,1911-096
MAT045,3.7818,1911-097
MAT058,6.09,1911-098
MAT054,3.1,1912-001
MAT195,1.0,1912-002
MAT081,10.3989,1912-003
MAT130,3.375,1912-004
MAT129,3.65,1912-005
MAT161,3.97,1912-006
MAT035,5.8,1912-007
MAT166,3.68,1912-008
MAT048,5.65,1912-009
MAT228,2.4,1912-010
MAT038,5.2,1912-011
MAT080,3.95,1912-012
MAT089,2.6366,1912-013
MAT033,0.5868,1912-014
MAT021,1.37,1912-015
MAT136,7.3,1912-016
MAT040,2.2,1912-017
MAT035,5.7,1912-018
MAT058,6.09,1912-019
MAT158,3.56,1912-020
MAT161,3.97,1912-021
MAT033,0.7192,1912-022
MAT073,0.8452,1912-023
MAT104,0.0423,1912-024
MAT174,1.95,1912-025
MAT038,5.2,1912-026
MAT055,9.366,1912-027
MAT042,3.8,1912-028
MAT154,2.03,1912-029
MAT068,14.46,1912-030
MAT021,1.37,1912-031
MAT017,0.496,1912-032
MAT034,6.8,1912-033
MAT035,5.9,1912-034
MAT005,0.133,1912-035
MAT003,0.165,1912-036
MAT004,0.077,1912-037
MAT228,2.4,1912-038
MAT048,5.75,1912-039
MAT042,4.85,1912-040
MAT019,6.9,1912-041
MAT174,1.95,1912-042
