componente,coste_componente_unitario,lote_componente
MAT161,3.97,1912-043
MAT017,0.2396,1912-044
MAT166,3.68,1912-045
MAT182,4.95,1912-046
MAT176,8.568,1912-047
MAT227,3.15,1912-048
MAT020,0.56,1912-049
MAT045,3.7818,1912-050
VAR118,0.255,1912-051
MAT013,2.147,1912-052
MAT057,1.165,1912-053
MAT226,1.65,1912-054
MAT149,4.4,1912-055
MAT167,4.6,1912-056
MAT101,0.78,1912-057
MAT013,2.147,1912-058
MAT057,1.165,1912-059
MAT021,1.37,1912-060
MAT075,8.589,1912-061
MAT041,1.66,1912-062
MAT048,5.75,1912-063
MAT037,10.5,1912-064
MAT139,13.692,1912-065
MAT067,12.5,1912-066
MAT147,0.0277,1912-067
MAT137,5.13,1912-068
MAT228,2.4,1912-069
MAT187,3.5,1912-070
MAT015,3.0,1912-071
MAT046,4.95,1912-072
MAT039,23.5,1912-073
MAT197,7.0842,1912-074
MAT035,5.7,1912-075
MAT058,6.09,1912-076
MAT021,1.37,1912-077
MAT056,1.027,1912-078
MAT195,1.0,1912-079
MAT027,0.8,1912-080
MAT154,2.03,1912-081
MAT019,6.9,1912-082
MAT068,16.8,1912-083
MAT068,5.0,1912-084
MAT037,10.5,1912-085
MAT033,0.7192,1912-086
MAT073,0.8452,1912-087
VAR113,0.0097,1912-088
VAR056,17.5,1912-089
MAT099,7.1896,1912-090
MAT071,6.05,1912-091
MAT020,0.56,1912-092
MAT021,1.37,1912-093
MAT013,2.147,1912-094
MAT057,1.165,1912-095
MAT228,2.4,1912-096
MAT074,4.8333,1912-097
VAR122,5.03,1912-098
VAR142,0.278,1912-099
MAT174,1.95,2001-001
MAT183,0.0205,2001-002
MAT039,23.5,2001-003
MAT035,5.8,2001-004
MAT161,3.97,2001-005
MAT166,3.68,2001-006
MAT186,2.298,2001-007
MAT046,4.95,2001-008
MAT046,5.09,2001-009
VAR119,0.0835,2001-010
MAT190,1.3076,2001-011
MAT104,0.0332,2001-012
MAT017,0.23,2001-013
MAT188,1.0702,2001-014
MAT174,1.95,2001-015
MAT042,3.98,2001-016
MAT038,5.2,2001-017
MAT189,1.65,2001-018
MAT041,1.66,2001-019
MAT075,8.589,2001-020
MAT023,20.0,2001-021
MAT170,0.295,2001-022
MAT172,0.385,2001-023
MAT038,5.6,2001-024
MAT035,5.9,2001-025
MAT016,220.1318,2001-026
VAR076,0.0932,2001-027
MAT035,6.0,2001-028
MAT058,6.09,2001-029
MAT147,0.045,2001-030
MAT021,1.37,2001-031
MAT048,5.65,2001-032
MAT119,3.19,2001-034
MAT166,3.68,2001-035
MAT071,6.05,2001-036
MAT195,0.0,2001-037
MAT121,7.4244,2001-038
MAT035,5.7,2001-039
MAT025,51.25,2001-040
MAT046,4.95,2001-041
MAT038,5.8,2001-042
MAT021,1.37,2001-043
MAT020,0.5613,2001-044
MAT040,2.35,2001-045
MAT042,3.98,2001-046
MAT073,0.7184,2001-047
MAT104,0.0332,2001-048
MAT024,38.1,2001-049
MAT025,48.79,2001-050
MAT185,4.8,2001-051
MAT032,3.599,2001-052
MAT067,12.45,2001-053
MAT035,5.9,2001-054
MAT039,26.25,2001-055
MAT178,6.15,2001-056
MAT035,5.8,2001-057
MAT042,3.65,2001-058
MAT013,2.147,2001-059
MAT041,1.66,2001-060
MAT230,15.2,2001-061
MAT011,2.4,2001-062
MAT019,6.9,2001-063
MAT228,2.4,2001-064
MAT187,3.5,2001-065
MAT113,3.1,2001-066
MAT039,26.25,2001-067
MAT195,1.0,2001-068
MAT068,17.99,2001-069
MAT021,1.37,2001-070
MAT020,0.5613,2001-071
MAT139,12.4,2001-072
MAT035,5.7,2002-001
MAT137,5.23,2002-002
MAT033,0.7192,2002-003
MAT154,2.19,2002-004
MAT048,5.65,2002-005
MAT037,10.5,2002-006
MAT021,1.37,2002-007
MAT228,2.4,2002-008
MAT071,6.05,2002-009
MAT226,1.65,2002-010
MAT039,26.25,2002-011
MAT021,1.37,2002-012
VAR121,1.29,2002-013
VAR057,5.8,2002-014
MAT232,1.08,2002-015
MAT166,3.68,2002-016
MAT035,5.9,2002-018
MAT073,0.8452,2002-019
MAT188,1.0702,2002-020
MAT186,2.038,2002-021
MAT226,1.65,2002-022
MAT227,3.3,2002-023
VAR119,0.0835,2002-024
VAR122,5.03,2002-025
VAR123,5.111,2002-026
MAT068,13.18,2002-027
MAT068,5.0,2002-028
MAT191,6.1222,2002-029
MAT128,10.6342,2002-030
MAT067,12.8,2002-031
MAT232,1.8,2002-032
MAT195,1.0,2002-033
MAT021,1.37,2002-034
MAT174,1.95,2002-035
MAT132,8.33,2002-036
MAT161,3.97,2002-037
MAT139,7.72,2002-038
MAT232,1.8,2002-039
MAT231,0.251,2002-040
MAT101,0.78,2002-041
MAT178,6.15,2002-042
MAT130,2.7667,2002-043
MAT048,5.65,2002-044
MAT035,5.9,2002-045
MAT038,5.45,2002-046
MAT036,3.5,2002-047
MAT035,5.8,2002-048
MAT037,10.5,2002-049
MAT099,7.331,2002-050
MAT112,6.35,2002-051
MAT154,2.19,2002-052
MAT183,0.0205,2002-053
MAT021,1.37,2002-054
MAT173,0.5998,2002-055
MAT039,26.25,2002-056
MAT042,4.15,2002-057
MAT163,0.0,2002-058
MAT022,2.35,2002-059
MAT041,1.66,2002-060
MAT013,2.2,2002-061
MAT045,3.7818,2002-062
MAT166,3.68,2002-063
MAT228,2.4,2002-064
MAT182,4.1,2002-065
MAT045,3.7818,2002-066
MAT058,6.09,2002-067
MAT021,1.37,2002-068
MAT226,1.65,2003-001
MAT113,3.1,2003-002
MAT113,2.6,2003-003
MAT222,4.9,2003-004
MAT019,6.9,2003-005
MAT032,4.099,2003-006
MAT101,0.78,2003-007
MAT033,0.7192,2003-008
MAT188,1.259,2003-009
MAT027,0.8,2003-010
MAT056,0.7,2003-011
MAT075,8.589,2003-012
MAT011,2.4,2003-013
MAT019,6.9,2003-014
MAT113,3.1,2003-015
MAT021,1.37,2003-016
MAT041,1.66,2003-017
MAT048,5.6,2003-018
MAT195,1.0,2003-019
MAT228,2.6,2003-020
MAT132,8.33,2003-021
MAT045,2.43,2003-022
MAT046,2.6,2003-023
MAT186,2.25,2003-024
VAR118,0.245,2003-025
MAT038,5.95,2003-026
MAT196,0.147,2003-027
MAT033,0.7192,2003-028
MAT071,6.05,2003-029
MAT226,1.65,2003-030
MAT057,1.2,2003-031
MAT154,2.19,2003-032
MAT039,26.25,2003-033
VAR142,0.278,2003-034
VAR118,0.245,2003-035
MAT015,3.0,2003-036
MAT074,5.033,2003-037
MAT191,5.5666,2003-038
MAT129,3.6666,2003-039
MAT042,4.4,2003-040
MAT048,5.6,2003-041
MAT056,1.2,2003-042
MAT183,0.0205,2003-043
MAT187,3.5,2003-044
MAT187,2.5,2003-045
MAT166,3.68,2003-046
VAR056,17.5,2003-047
MAT021,1.37,2004-001
MAT021,1.37,2004-002
MAT248,4.94,2004-003
MAT250,3.88,2004-004
MAT161,3.97,2004-005
MAT249,3.78,2004-006
MAT241,0.79,2004-007
MAT243,1.798,2004-008
MAT239,0.65,2004-009
MAT242,1.745,2004-010
MAT240,0.68,2004-011
MAT253,1.28,2004-012
MAT252,0.7,2004-013
MAT246,4.48,2004-014
MAT245,7.94,2004-015
MAT245,0.0,2004-016
MAT246,0.0,2004-017
MAT247,0.9,2004-018
MAT251,4.2,2004-019
MAT244,5.7,2004-020
MAT196,0.088,2004-021
MAT056,1.2,2004-022
MAT060,0.6633,2005-006
MAT021,1.37,2005-009
MAT073,0.7184,2005-010
MAT033,0.676,2005-011
MAT104,0.0331,2005-012
MAT249,2.59,2005-013
MAT248,4.94,2005-014
VAR076,0.0932,2005-015
MAT241,1.65,2005-016
MAT195,1.0,2005-017
MAT247,1.3,2005-018
MAT247,1.3,2005-019
MAT050,2.37,2005-020
MAT185,0.0,2005-021
MAT166,3.68,2005-022
MAT056,0.7,2005-023
MAT252,0.7,2005-024
MAT060,0.6633,2005-025
MAT161,3.37,2005-026
MAT244,5.7,2005-027
MAT020,0.5613,2005-028
MAT021,1.37,2005-029
MAT154,2.19,2005-030
MAT244,5.7,2005-031
MAT178,6.15,2005-032
MAT071,5.92,2005-033
MAT239,0.7,2005-034
MAT240,0.8,2005-035
MAT242,2.35,2005-036
MAT241,1.02,2005-037
MAT101,0.78,2006-001
MAT089,5.157,2006-002
MAT121,6.818,2006-003
MAT121,8.9772,2006-004
MAT230,15.2,2006-005
MAT060,0.6633,2006-006
MAT252,0.7,2006-007
MAT243,1.8,2006-008
MAT178,6.15,2006-009
MAT247,1.3,2006-010
MAT037,3.5,2006-011
MAT251,4.3,2006-012
MAT233,3.307,2006-013
MAT250,3.92,2006-014
MAT161,3.37,2006-015
MAT248,4.66,2006-016
MAT249,2.59,2006-017
MAT247,1.2,2006-018
MAT252,0.7,2006-019
MAT101,0.78,2006-020
MAT178,6.15,2006-021
MAT257,3.4,2006-022
MAT242,2.35,2006-023
MAT241,1.02,2006-024
MAT240,0.8,2006-025
MAT239,0.7,2006-026
MAT060,0.6633,2006-027
MAT133,3.0,2006-028
MAT186,2.25,2006-029
MAT259,1.95,2006-030
MAT235,14.4,2006-031
MAT068,13.4,2006-032
MAT153,5.0,2006-033
MAT264,1.274,2006-034
MAT261,14.5,2006-035
MAT089,5.157,2006-036
MAT260,10.5,2006-037
MAT263,1.7727,2006-038
MAT195,0.0,2006-039
MAT255,0.0,2006-040
MAT161,3.37,2006-041
MAT256,14.628,2006-042
MAT245,7.938,2006-043
MAT262,7.126,2006-044
MAT240,0.8,2006-045
MAT239,0.7,2006-046
MAT241,1.0096,2006-047
MAT242,2.35,2006-048
MAT101,0.78,2006-049
MAT255,4.636,2006-050
MAT084,12.871,2006-051
MAT180,4.636,2006-052
MAT033,0.676,2007-001
MAT073,0.7184,2007-002
MAT021,1.37,2007-003
MAT021,1.37,2007-004
MAT258,5.89,2007-005
VAR119,0.0835,2007-006
MAT147,0.0277,2007-007
MAT013,3.29,2007-008
MAT154,2.19,2007-009
MAT137,5.23,2007-010
MAT037,20.24,2007-011
MAT041,1.66,2007-012
MAT071,6.05,2007-013
MAT013,2.2,2007-014
MAT257,3.4,2007-015
MAT260,10.5,2007-016
MAT241,1.02,2007-017
MAT242,2.35,2007-018
MAT060,0.7654,2007-019
MAT166,3.68,2007-020
MAT021,1.37,2007-021
MAT265,3.0,2007-022
MAT013,2.2,2007-023
MAT041,1.6,2007-024
MAT132,8.33,2007-025
MAT021,1.37,2007-026
MAT168,0.231,2007-027
MAT259,1.95,2007-028
MAT263,0.0,2007-029
MAT195,1.0,2007-030
MAT132,8.33,2007-031
MAT178,6.15,2007-032
MAT185,4.8,2007-033
MAT186,2.25,2007-034
MAT048,4.55,2007-035
MAT020,0.5612,2007-036
MAT075,8.589,2007-037
MAT068,9.2279,2007-038
MAT258,5.89,2007-039
MAT257,3.4,2007-040
MAT060,0.6633,2007-041
MAT169,0.359,2007-042
MAT021,1.37,2007-043
MAT166,3.68,2007-044
MAT033,0.676,2007-045
MAT073,0.6339,2007-046
MAT089,5.157,2007-047
MAT263,4.25,2007-048
MAT229,18.605,2007-049
MAT058,6.35,2007-050
MAT101,0.78,2007-051
MAT252,0.7,2007-052
MAT056,0.7,2007-053
MAT247,1.45,2007-054
MAT251,3.75,2007-055
MAT128,9.4075,2007-056
MAT067,12.4,2007-057
MAT154,2.19,2007-058
MAT074,5.033,2007-059
MAT071,6.05,2007-060
MAT243,1.8,2007-061
MAT235,10.0,2007-062
MAT037,5.0,2007-063
MAT021,1.37,2007-064
MAT158,3.1,2007-065
MAT250,3.92,2007-066
MAT166,3.68,2007-067
MAT035,5.0,2007-068
MAT180,4.636,2007-069
MAT256,29.256,2007-071
MAT183,0.0205,2007-072
MAT071,6.05,2007-073
MAT035,5.0,2007-074
MAT266,0.231,2007-075
MAT262,6.832,2007-076
MAT039,26.25,2007-077
MAT041,1.66,2007-078
MAT045,2.43,2007-079
VAR121,1.29,2008-001
MAT153,5.0,2008-002
MAT068,11.05,2008-003
MAT158,3.1,2008-004
MAT195,0.0,2008-005
MAT048,4.55,2008-007
MAT040,2.42,2008-008
MAT252,0.7,2008-009
MAT042,3.9,2008-010
MAT264,1.274,2008-011
MAT241,1.02,2008-012
MAT258,5.89,2008-013
MAT257,3.4,2008-014
MAT239,0.7,2008-015
MAT240,0.8,2008-016
MAT132,8.33,2008-017
MAT060,0.6633,2008-018
MAT142,0.0397,2008-019
MAT267,0.0412,2008-020
MAT021,1.37,2008-021
MAT244,5.7,2008-022
MAT020,0.5613,2008-023
MAT245,7.93,2008-024
MAT245,7.938,2008-025
MAT262,7.126,2008-026
MAT037,6.5,2008-027
MAT039,26.25,2008-028
MAT011,2.4,2008-029
MAT021,1.37,2008-030
MAT038,5.5,2008-031
MAT137,5.23,2008-032
MAT130,2.6667,2008-033
MAT058,6.35,2008-034
MAT014,6.5,2008-035
MAT132,8.33,2008-036
MAT178,6.15,2008-037
MAT013,2.2,2008-038
MAT023,20.0,2008-039
MAT101,0.78,2008-040
MAT046,2.6,2008-041
MAT186,2.25,2008-042
MAT195,1.0,2008-043
MAT153,5.0,2008-044
MAT033,0.65,2008-045
MAT068,11.0,2008-046
VAR119,0.0835,2008-047
MAT037,6.5,2008-048
MAT166,3.68,2008-049
MAT190,1.36,2008-050
MAT235,11.5,2008-051
MAT057,1.2,2008-052
MAT050,2.37,2008-053
MAT039,26.25,2008-054
MAT154,2.19,2008-055
MAT101,0.78,2008-056
MAT037,6.5,2008-057
MAT226,1.65,2008-058
MAT021,1.37,2008-059
MAT132,8.33,2008-060
MAT158,3.08,2008-061
MAT027,0.8,2008-062
MAT021,1.37,2009-001
MAT129,3.6666,2009-002
MAT041,1.66,2009-003
MAT071,6.05,2009-004
MAT035,5.3,2009-005
MAT037,6.5,2009-006
MAT137,5.23,2009-007
MAT195,1.0,2009-008
MAT021,1.37,2009-009
MAT067,12.45,2009-010
MAT013,2.2,2009-011
MAT075,7.5837,2009-012
MAT033,0.65,2009-013
MAT016,220.1328,2009-014
VAR142,0.278,2009-015
VAR129,0.48,2009-016
MAT229,18.605,2009-017
MAT147,0.0277,2009-018
MAT020,0.5613,2009-019
MAT021,1.37,2009-020
MAT020,0.5613,2009-021
MAT183,0.0205,2009-022
MAT060,0.6633,2009-023
MAT071,6.05,2009-024
MAT037,6.5,2009-025
MAT073,0.86,2009-026
MAT255,4.636,2009-027
MAT021,1.37,2009-028
MAT020,0.5613,2009-029
MAT068,11.5,2009-030
MAT153,5.0,2009-031
MAT161,3.26,2009-032
VAR118,0.245,2009-033
MAT039,17.0,2009-034
MAT154,2.19,2009-035
MAT057,1.2,2009-036
VAR306,0.0013,2009-037
MAT039,26.25,2009-038
MAT015,3.0,2009-039
MAT137,5.23,2009-040
MAT013,2.2,2009-041
MAT258,5.89,2009-042
MAT257,3.4,2009-043
MAT268,6.2,2009-044
VAR356,0.34,2009-045
MAT038,5.5,2009-046
MAT038,6.5,2009-047
MAT037,6.5,2009-048
MAT035,5.3,2009-049
MAT241,1.02,2009-050
MAT230,15.2,2009-051
MAT178,6.15,2009-052
MAT035,5.5,2009-053
VAR400,124.501,2009-054
MAT073,0.86,2009-055
MAT033,0.65,2009-056
MAT021,1.37,2009-057
MAT147,0.0277,2009-058
VAR119,0.0835,2010-001
MAT261,15.5,2010-002
MAT037,6.5,2010-003
MAT228,2.4,2010-004
MAT035,5.8,2010-005
MAT196,0.088,2010-006
MAT045,2.43,2010-007
MAT132,8.33,2010-008
MAT060,0.6633,2010-009
MAT242,2.35,2010-010
MAT265,3.0,2010-011
MAT041,1.66,2010-012
MAT154,2.19,2010-013
MAT09,566.0,2010-015
MAT019,6.9,2010-016
MAT021,1.37,2010-017
MAT035,5.5,2010-018
MAT035,5.25,2010-019
MAT071,6.05,2010-020
MAT180,4.636,2010-021
MAT256,29.256,2010-022
MAT057,1.2,2010-023
MAT183,0.0205,2010-024
VAR056,17.5,2010-025
MAT178,6.15,2010-026
MAT172,0.385,2010-027
MAT038,5.5,2010-028
MAT013,2.2,2010-029
MAT022,2.35,2010-030
MAT180,4.636,2010-031
MAT084,12.871,2010-032
MAT021,1.37,2010-033
MAT041,1.66,2010-034
MAT186,2.25,2010-035
MAT262,7.126,2010-036
MAT039,26.25,2010-037
MAT166,3.68,2010-038
MAT226,1.65,2010-039
VAR076,0.0932,2010-040
MAT195,1.0,2010-041
MAT259,1.95,2010-042
MAT042,3.45,2010-043
MAT026,0.5054,2010-044
MAT035,5.5,2010-045
MAT235,11.0,2010-046
MAT286,1.25,2010-047
MAT280,0.145,2010-048
MAT278,0.64,2011-001
MAT160,17.5,2011-002
MAT154,2.19,2011-003
MAT181,10.37,2011-004
MAT186,2.25,2011-005
MAT021,1.37,2011-006
MAT234,6.2,2011-007
MAT161,2.91,2011-008
MAT013,2.2,2011-009
MAT035,5.2,2011-010
MAT054,3.05,2011-011
MAT243,1.8,2011-012
MAT060,0.6633,2011-013
MAT277,4.3333,2011-014
MAT101,0.78,2011-015
MAT056,0.7,2011-016
MAT039,26.25,2011-017
MAT279,0.0035,2011-018
MAT279,0.0035,2011-019
MAT037,6.5,2011-020
VAR404,0.34,2011-021
MAT272,0.115,2011-022
VAR113,0.0097,2011-023
MAT183,0.0205,2011-024
MAT082,22.019,2011-025
MAT033,0.65,2011-026
MAT136,7.2,2011-027
MAT257,3.6,2011-028
MAT242,1.94,2011-029
MAT249,2.55,2011-031
MAT248,3.7,2011-032
MAT041,1.66,2011-033
MAT023,20.0,2011-034
MAT283,1.4,2011-035
MAT073,0.86,2011-036
MAT284,14.741,2011-037
MAT285,2.93,2011-038
MAT241,1.02,2011-039
MAT160,17.5,2011-040
MAT147,0.0277,2011-041
MAT247,1.65,2011-042
MAT021,1.37,2011-043
MAT282,0.808,2011-044
MAT271,5.908,2011-045
MAT241,1.06,2011-046
MAT228,2.4,2011-047
VAR405,0.102,2011-048
VAR406,0.102,2011-049
VAR407,0.102,2011-050
MAT281,3.2,2011-051
VAR403,0.189,2011-052
MAT249,2.55,2011-053
MAT248,3.7,2011-054
MAT161,3.37,2011-055
MAT057,1.2,2011-056
MAT013,2.2,2011-057
MAT262,7.126,2011-058
MAT055,12.586,2011-059
MAT246,4.48,2011-060
MAT015,3.0,2011-061
MAT186,2.25,2011-062
MAT269,0.0,2011-063
MAT239,0.7,2011-064
MAT060,0.6633,2011-065
MAT269,6.1992,2011-066
MAT104,0.0361,2011-067
MAT161,2.91,2011-068
MAT045,2.43,2011-069
MAT186,2.25,2011-070
MAT244,5.7,2011-071
VAR309,2.955,2011-072
VAR310,2.955,2011-073
MAT028,5.8,2011-074
MAT054,3.05,2011-075
MAT056,0.7,2011-076
MAT256,29.256,2011-077
MAT242,1.94,2011-078
MAT287,1.15,2011-079
MAT241,0.79,2011-080
MAT278,0.64,2011-081
MAT265,3.0,2011-082
MAT243,1.8,2011-083
MAT037,6.5,2012-001
MAT056,0.7,2012-002
MAT273,0.171,2012-003
VAR409,0.185,2012-004
VAR411,0.097,2012-005
VAR410,0.097,2012-006
MAT137,4.99,2012-007
MAT132,8.33,2012-008
MAT288,0.0,2012-009
MAT288,0.0,2012-010
MAT288,0.0,2012-011
MAT288,0.0,2012-012
MAT011,2.4,2012-013
MAT262,7.126,2012-014
MAT246,4.48,2012-015
VAR118,0.255,2012-016
MAT021,1.37,2012-017
MAT056,0.7,2012-018
MAT279,0.0035,2012-019
MAT021,1.37,2012-020
MAT056,0.7,2012-021
MAT039,26.25,2012-022
MAT035,5.7,2012-023
MAT272,0.115,2012-024
MAT256,29.256,2012-025
MAT178,6.15,2012-026
MAT060,0.6633,2012-027
MAT161,2.91,2012-028
MAT154,2.19,2012-029
MAT056,0.7,2012-030
MAT037,6.5,2012-031
MAT040,2.42,2012-032
MAT045,2.43,2012-033
MAT027,0.8,2012-034
MAT021,1.37,2012-035
MAT056,0.7,2012-036
MAT056,0.7,2012-037
MAT021,1.37,2012-038
MAT071,6.05,2012-039
VAR417,0.0157,2012-040
MAT048,4.45,2012-041
MAT035,5.2,2012-042
VAR403,0.2134,2012-043
VAR410,0.101,2012-044
VAR411,0.101,2012-045
VAR407,0.112,2012-046
VAR405,0.112,2012-047
VAR406,0.112,2012-048
VAR403,0.2134,2012-049
MAT056,0.7,2012-050
MAT056,0.7,2012-051
VAR057,5.8,2012-052
MAT037,6.5,2012-053
MAT039,26.25,2012-054
MAT180,4.636,2012-055
MAT056,0.7,2012-056
MAT021,1.37,2012-057
MAT056,0.7,2012-058
MAT042,3.45,2012-059
MAT113,2.95,2012-060
MAT228,2.4,2012-061
MAT054,1.15,2012-062
MAT104,0.0361,2101-001
MAT073,0.86,2101-002
MAT033,0.65,2101-003
MAT244,5.7,2101-004
MAT039,26.25,2101-005
MAT035,5.2,2101-006
MAT186,2.25,2101-007
MAT021,1.37,2101-008
MAT056,0.7,2101-009
MAT279,0.0035,2101-010
MAT071,6.05,2101-011
VAR119,0.0835,2101-012
MAT266,0.231,2101-013
MAT277,4.3333,2101-014
MAT237,2.42,2101-015
MAT067,12.0,2101-016
MAT256,26.0,2101-017
VAR142,0.278,2101-018
MAT237,6.2,2101-019
MAT154,2.43,2101-020
MAT287,1.15,2101-021
MAT241,0.79,2101-022
VAR419,0.0121,2101-023
MAT101,0.78,2101-024
MAT239,0.7,2101-025
MAT060,0.7653,2101-026
MAT021,1.37,2101-027
MAT039,26.25,2101-028
MAT290,4.2,2101-029
MAT137,4.99,2101-030
MAT294,0.0,2101-031
MAT292,0.068,2101-032
MAT293,0.0,2101-033
MAT071,5.92,2101-034
VAR420,3.05,2101-035
MAT278,0.64,2101-036
MAT278,0.64,2101-037
MAT279,0.0035,2101-038
MAT272,0.115,2101-039
MAT021,1.37,2102-001
MAT283,1.4,2102-002
MAT035,5.5,2102-003
MAT296,3.85,2102-004
MAT295,5.1,2102-005
MAT297,4.65,2102-006
MAT298,3.7,2102-007
MAT056,0.65,2102-008
VAR420,3.05,2102-009
MAT239,0.7,2102-010
MAT060,0.7654,2102-011
MAT296,3.85,2102-012
MAT287,1.15,2102-013
MAT241,0.79,2102-014
MAT262,7.126,2102-015
MAT244,5.7,2102-016
MAT186,2.5568,2102-017
VAR424,0.1008,2102-018
VAR417,0.0157,2102-019
MAT195,1.0,2102-020
MAT113,2.75,2102-021
MAT237,2.0498,2102-022
VAR121,1.77,2102-023
MAT060,0.7804,2102-024
MAT300,0.7,2102-025
VAR429,0.065,2102-026
VAR428,0.065,2102-027
VAR427,0.065,2102-028
VAR426,0.065,2102-029
VAR425,0.065,2102-030
MAT299,3.8,2102-031
MAT237,1.152,2102-032
MAT295,5.1,2102-033
MAT056,0.65,2102-034
MAT247,1.0,2102-035
MAT251,4.0,2102-036
VAR423,0.23,2102-037
MAT035,5.0,2102-038
MAT158,2.93,2102-039
MAT246,4.48,2102-040
MAT271,6.328,2102-041
VAR422,0.295,2102-042
MAT277,3.6833,2102-043
MAT286,1.1,2102-044
MAT021,1.37,2102-045
VAR306,0.0012,2102-046
MAT035,3.9,2102-047
MAT265,3.0,2102-048
MAT244,5.7,2102-049
MAT263,4.25,2102-050
MAT132,8.33,2102-051
MAT279,0.0035,2102-052
MAT300,0.7,2102-053
MAT056,0.65,2102-054
MAT251,4.0,2102-055
MAT242,1.94,2102-056
MAT241,0.792,2102-057
MAT278,0.69,2102-059
MAT056,0.65,2102-060
MAT195,1.0,2102-061
VAR423,0.21,2103-001
VAR422,0.295,2103-002
MAT021,1.37,2103-003
VAR142,0.278,2103-004
MAT270,5.74,2103-005
MAT178,6.15,2103-006
MAT295,5.1,2103-007
MAT258,5.5106,2103-008
MAT294,0.152,2103-009
MAT180,4.636,2103-010
MAT256,26.0,2103-011
MAT038,4.75,2103-012
MAT279,0.0035,2103-013
VAR424,0.1289,2103-014
VAR076,0.1538,2103-015
VAR427,0.065,2103-016
VAR428,0.065,2103-017
VAR429,0.065,2103-018
MAT269,6.1995,2103-019
MAT279,0.0035,2103-020
MAT262,7.126,2103-021
MAT239,0.7,2103-022
MAT060,0.7804,2103-023
MAT045,3.1818,2103-024
MAT186,2.75,2103-025
MAT296,3.852,2103-026
MAT242,1.94,2103-027
MAT287,1.148,2103-028
MAT241,0.792,2103-029
MAT021,1.37,2103-030
MAT154,2.43,2103-031
MAT228,3.1,2103-032
MAT056,0.65,2103-033
MAT039,26.25,2103-034
MAT089,5.751,2103-035
MAT073,0.86,2103-036
MAT021,1.37,2103-037
MAT071,6.1,2103-038
MAT101,0.78,2103-040
MAT129,3.6667,2103-041
MAT132,8.33,2103-042
MAT060,0.7804,2103-043
MAT178,8.257,2103-044
MAT170,0.295,2103-045
MAT172,0.385,2103-046
MAT154,2.43,2103-047
MAT299,4.3,2103-048
MAT073,0.86,2103-049
MAT137,4.99,2103-050
MAT021,1.37,2103-051
MAT269,6.1992,2103-052
MAT222,4.9,2103-053
MAT020,0.5613,2103-054
MAT015,3.0,2103-055
MAT260,10.2,2103-056
MAT293,0.098,2103-057
MAT292,0.068,2103-058
MAT033,0.65,2103-059
MAT057,1.207,2103-060
MAT013,2.2,2103-061
MAT039,23.0,2103-062
MAT060,0.7804,2104-001
MAT239,0.7,2104-002
MAT296,3.85,2104-003
MAT242,1.94,2104-004
MAT241,0.792,2104-005
VAR121,1.29,2104-006
VAR408,8.5,2104-007
MAT045,3.5114,2104-008
MAT186,2.9773,2104-009
MAT229,18.605,2104-010
MAT154,2.43,2104-011
MAT195,1.0,2104-012
MAT021,1.37,2104-013
MAT035,4.95,2104-014
VAR356,0.36,2104-015
MAT287,1.152,2104-016
MAT300,0.7,2104-017
VAR118,0.255,2104-019
MAT262,7.126,2104-020
MAT050,2.37,2104-021
MAT113,3.6,2104-022
MAT067,12.0,2104-023
MAT021,1.37,2104-024
MAT039,23.0,2104-025
MAT258,2.6979,2104-026
MAT132,8.33,2104-027
MAT060,0.7804,2104-028
MAT183,0.0205,2104-029
MAT060,0.7804,2104-030
MAT048,4.5,2104-031
MAT042,3.6,2104-032
MAT290,4.2,2104-033
MAT186,2.9773,2104-034
MAT045,3.5114,2104-035
MAT244,6.59,2104-036
MAT251,4.0,2104-037
MAT073,0.86,2104-038
MAT279,0.0029,2104-039
MAT021,1.37,2104-040
MAT071,6.1,2104-041
MAT228,3.1,2104-042
VAR118,0.2548,2104-043
MAT180,4.636,2104-044
MAT256,26.0,2104-045
VAR119,0.0919,2104-046
MAT271,5.31,2104-047
MAT246,4.576,2104-048
MAT039,23.0,2104-049
MAT056,0.65,2104-050
MAT128,9.4075,2104-051
MAT017,0.2204,2104-052
MAT033,0.65,2104-053
MAT186,2.9773,2104-054
MAT257,3.6,2104-055
MAT306,11.5001,2104-056
MAT305,4.2,2104-057
MAT298,3.7,2104-058
MAT042,5.1,2104-059
MAT158,2.97,2104-060
MAT137,4.99,2104-061
MAT233,3.307,2104-062
MAT027,0.8,2104-063
MAT060,0.7804,2104-064
MAT021,1.37,2104-065
MAT304,4.43,2104-066
MAT302,24.0,2104-067
MAT286,1.1,2104-068
MAT154,2.43,2104-069
MAT113,3.6,2104-070
MAT230,15.2,2104-071
MAT235,15.6,2104-072
MAT195,0.0,2104-073
MAT262,7.2787,2104-074
MAT144,0.0165,2104-075
VAR441,0.108,2105-001
VAR431,0.108,2105-002
VAR434,0.108,2105-003
VAR442,0.108,2105-004
MAT251,4.0,2105-005
MAT261,16.0,2105-006
MAT247,1.2,2105-007
MAT060,0.7804,2105-008
MAT186,2.9773,2105-009
MAT045,3.5114,2105-010
MAT286,1.1,2105-011
VAR420,3.05,2105-012
MAT300,0.7,2105-013
MAT265,3.0,2105-014
MAT269,5.9662,2105-015
MAT242,1.94,2105-016
MAT241,0.92,2105-017
MAT257,3.6,2105-018
MAT295,5.1,2105-019
MAT297,4.95,2105-020
