Cód. artículo;Artículo;Tipo unidad (Obsoleto);Precio estándar;Precio compra;Ultimo precio compra;Familia;Línea;Tipo;Obsoleto;Peso;Peso neto artículo;
FAR007;PREPARADO ARROZ DE BOGAVANTE CAJA 4 ud;Uds;20,4707;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;3,8;;
FAR008;PREPARADO ARROZ DE POLLO GRANJA CON VERDURAS CAJA 4 ud;Uds;8,4498;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;2,5;;
FAR009;PREPARADO ARROZ DE MARISCO CAJA 4 ud;Uds;17,2160;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;4,1;;
FAR010;PREPARADO PAELLA VALENCIANA CAJA 4 ud;Uds;10,4971;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;2,7;;
FAR011;PREPARADO ARROZ SECRETO CON BOLETUS CAJA 4 ud V2;Uds;15,5722;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;4,3;;
FAR1000;PREPARADOS ARROCES COMPENSACION;Uds;0,0000;0,0000;0;ARROCES;FOODVAC;CONGELAD;No;0;;
FCAR000;CARRILLERA DE CERDO kg (CAJA 4 Kg);Uds;28,1454;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4,3;;
FCAR001;CARRILLERA  DE CERDO RACION (CAJA 16 uds);Uds;38,9284;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,524;0,2;
FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);Uds;49,8209;0,0000;0;CARNES;FOODVAC;CONGELAD;No;2,892;0,16;
FCAR003;1/2 CODILLO DE CERDO CON HUESO (CAJA 10 uds);Uds;18,3918;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,329;0,3;
FCAR004;SOLOMILLO DE CERDO kg;Uds;0,0000;3,7680;0;CARNES;FOODVAC;CONGELAD;Si;0;;
FCAR005;MANITAS DE CERDO DESHUESADAS RACION (CAJA 16 uds);Uds;44,8727;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,052;0,17;
FCAR006;MANITAS DE CERDO DESHUESADAS PLANCHA (CAJA 3X2,35kg);Uds;99,8910;0,0000;0;CARNES;FOODVAC;CONGELAD;No;7,8419;2,5;
FCAR007;SECRETO DE CERDO IBERICO kg (CAJA 4kg);Uds;37,5867;0,0000;0;CARNES;FOODVAC;CONGELAD;No;4,285;1;
FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);Uds;29,2504;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,0086;0,22;
FCAR009;COSTILLA DE CERDO IBERICO DESH.PLANCHA (3x2kg);Uds;79,6180;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;6,3;;
FCAR010;COSTILLA DE CERDO IBERICO DESH.RACION (16 uds);Uds;38,5770;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,4;;
FCAR011;CORDERO DESHUESADO PLANCHA (3x2,35kg);Uds;97,6125;0,0000;0;CARNES;FOODVAC;CONGELAD;No;7,3919;2,35;
FCAR012;CORDERO  DESHUESADO RACION (CAJA 16 uds);Uds;45,9520;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,052;0,17;
FCAR013;CARRILLERA  DE VACUNO ENTERA (CAJA 2,8 kg);Uds;39,3028;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,8;;
FCAR014;CARRILLERA DE VACUNO RACION MOLDEADA (CAJA 16 uds);Uds;37,4005;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR015;RABO DE VACUNO DESHUESADO PLANCHA (2x2.35 kg);Uds;117,1550;0,0000;0;CARNES;FOODVAC;CONGELAD;No;6,1371;2,35;
FCAR016;RABO DE VACUNO DESHUESADO RACION (CAJA 16 uds);Uds;80,1762;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,7255;0,17;
FCAR017;TERRINA DE MELOSO DE VACUNO RACION (CAJA 16 uds);Uds;52,5401;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,7255;0,17;
FCAR018;TERRINA DE MELOSO DE VACUNO PLANCHA (2x2.35 kg);Uds;74,2518;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;6,1371;2,35;
FCAR019;SALSA DE VACUNO (16 ud);Cajas;17,6882;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,852;0,22;
