Fecha Recepción;Nº Orden;Producto;Descripción Producto;Lote Producto;Unidades Fabricadas;Componente;Descripción Componente;Lote Componente;Línea;Familia;Consumo Teórico;Total Teórico;Consumo Unitario;Consumo Total;Coste Unitario;Coste Total
15/01/2024;FV-8779;SCCO012;STEAK TARTAR LA SIRENA (ESTUCHE 110 gr);050124;1.980,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,05;93,25;0,05;93,26;0,23;21,45
15/01/2024;FV-8803;SCRE047;ARROZ VERDURAS (1 X 280 gr);110124;945,00;MAUX024;FILM TERMOSELLADORA ULMA 235 PP EVOH PEEL 55MC (1000m);318497;COMPONENTE;MATERIAL AUXILIAR;0,26;245,86;0,26;248,72;0,09;22,93
15/01/2024;FV-8798;FPOS016;TORRIJAS (20 ud);080124;97,00;MAT055;CANELA;J0418929;COMPONENTE;MATERIA PRIMA;0,90;86,84;0,00;0,34;10,15;3,47
15/01/2024;FV-8820;SEM099;SEMIELABORADO SALSA RABO CON SETAS;130124;148,27;MAT359;DEMIGLACE;154179;COMPONENTE;MATERIA PRIMA;0,05;8,12;0,06;8,66;11,42;98,89
15/01/2024;FV-8805;FPOS015;TARTA DE QUESO SIN GLUTEN RACION (36 ud);100124;103,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;1,02;105,10;1,07;110,00;0,02;2,26
15/01/2024;FV-8823;SEM108;SEMIELABORADO TERRINA DE CARRILLERA DE VACUNO CON RABO;130124;75,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,78;58,56;0,65;48,49;0,47;23,02
15/01/2024;FV-8820;SEM099;SEMIELABORADO SALSA RABO CON SETAS;130124;148,27;MAUX018;BOLSA VACIO 40x60 LORE140 MICRAS ENVASADO PLANCHAS;10696594;COMPONENTE;MATERIAL AUXILIAR;0,10;14,83;0,12;18,00;0,30;5,40
15/01/2024;FV-8819;FPOS010;COULAND CHOCOLATE MICRO. BLANCO SIN GLUTEN  (36ud);110124;166,00;MAT137;COBERTURA DE CHOCOLATE BLANCO W2NV-01B GOTAS 10K;232261001;COMPONENTE;MATERIA PRIMA;1,00;165,98;1,39;230,60;6,25;1.441,25
15/01/2024;FV-8820;SEM099;SEMIELABORADO SALSA RABO CON SETAS;130124;148,27;MAT349;TOMATE EN POLVO;J1121318;COMPONENTE;MATERIA PRIMA;0,03;4,18;0,03;4,46;9,62;42,89
15/01/2024;FV-8820;SEM099;SEMIELABORADO SALSA RABO CON SETAS;130124;148,27;MAT027;VINO TINTO;43829;COMPONENTE;MATERIA PRIMA;0,70;103,47;0,74;110,00;0,81;88,99
15/01/2024;FV-8779;SCCO012;STEAK TARTAR LA SIRENA (ESTUCHE 110 gr);050124;1.980,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,05;93,25;0,05;93,26;0,47;44,28
15/01/2024;FV-8779;SCCO012;STEAK TARTAR LA SIRENA (ESTUCHE 110 gr);050124;1.980,00;VAR142;CAJAS CARTON B1 PEQUEÑA;1001782607/1001888791;COMPONENTE;MATERIAL AUXILIAR;0,08;168,25;0,08;165,00;0,41;66,84
15/01/2024;FV-8803;SCRE047;ARROZ VERDURAS (1 X 280 gr);110124;945,00;MAUX047;ETIQUETA EN C ARROZ DE VERDURAS;72958;COMPONENTE;MATERIAL AUXILIAR;1,11;1.049,80;1,11;1.050,00;0,02;26,15
15/01/2024;FV-8798;FPOS016;TORRIJAS (20 ud);080124;97,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;1,00;97,00;10,31;1.000,00;0,02;20,50
15/01/2024;FV-8805;FPOS015;TARTA DE QUESO SIN GLUTEN RACION (36 ud);100124;103,00;MAT033;AZUCAR;L23P461;COMPONENTE;MATERIA PRIMA;1,00;103,00;0,71;73,22;1,15;84,20
15/01/2024;FV-8798;FPOS016;TORRIJAS (20 ud);080124;97,00;MAT380;XANTAMIX;J0831078;COMPONENTE;MATERIA PRIMA;1,00;97,00;0,01;0,73;15,33;11,11
15/01/2024;FV-8779;SCCO012;STEAK TARTAR LA SIRENA (ESTUCHE 110 gr);050124;1.980,00;MAT229;TECNOMIC CL20;147450-2;COMPONENTE;MATERIA PRIMA;0,00;1,19;0,00;1,34;18,67;24,98
15/01/2024;FV-8786;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);050124;32,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,77;24,69;0,64;20,33;0,24;4,84
16/01/2024;FV-8793;SEM046;SC SEMIELABORADO PATATAS CONFITADAS PX;090124;2.156,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,09;184,76;0,07;152,21;0,47;72,27
16/01/2024;FV-8832;FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);150124;68,00;VAR142;CAJAS CARTON B1 PEQUEÑA;1002035937;COMPONENTE;MATERIAL AUXILIAR;1,02;69,38;1,00;68,00;0,41;27,55
16/01/2024;FV-8817;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);120124;352,00;VAR118;CAJAS CARTON B1 MEDIANA;202300657;COMPONENTE;MATERIAL AUXILIAR;1,02;359,07;1,00;352,00;0,33;115,46
16/01/2024;FV-8817;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);120124;352,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;359,12;1,01;354,00;0,02;5,66
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT313;ALGA NORI;301124-1;COMPONENTE;MATERIA PRIMA;0,01;1,24;0,00;1,00;76,39;76,39
16/01/2024;FV-8799;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);090124;180,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;183,65;1,06;190,00;0,02;3,04
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT318;SEMILLAS DE SESAMO;051223;COMPONENTE;MATERIA PRIMA;0,07;15,27;0,06;12,82;5,09;65,27
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;107,14;1,02;107,00;0,02;1,71
16/01/2024;FV-8799;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);090124;180,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;1,02;183,65;1,06;190,00;0,02;3,90
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;VAR142;CAJAS CARTON B1 PEQUEÑA;1002035937;COMPONENTE;MATERIAL AUXILIAR;1,02;107,14;1,00;105,00;0,41;42,54
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,19;273,73;0,16;225,48;0,47;107,06
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,77;81,00;0,64;66,71;0,47;31,67
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;SEM122;SEMIELABORADO DE SAL Y PIMIENTA;191223;foodVAC;SEMIELABORADOS;0,01;10,65;0,01;7,80;0,46;3,58
16/01/2024;FV-8832;FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);150124;68,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;1,54;104,91;1,27;86,40;0,24;20,57
16/01/2024;FV-8831;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);150124;68,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,91;62,17;0,75;51,20;0,47;24,31
16/01/2024;FV-8830;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;150124;148,00;SEM122;SEMIELABORADO DE SAL Y PIMIENTA;191223;foodVAC;SEMIELABORADOS;0,02;2,68;0,03;4,12;0,46;1,89
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT313;ALGA NORI;280225;COMPONENTE;MATERIA PRIMA;0,00;0,81;0,00;0,65;76,39;49,81
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAT229;TECNOMIC CL20;152953;COMPONENTE;MATERIA PRIMA;0,00;1,16;0,00;1,20;18,67;22,31
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAT229;TECNOMIC CL20;147450-2;COMPONENTE;MATERIA PRIMA;0,00;1,24;0,00;1,28;18,67;23,80
16/01/2024;FV-8832;FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);150124;68,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;1,54;104,91;1,27;86,40;0,47;41,02
16/01/2024;FV-8831;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);150124;68,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,91;62,17;0,75;51,20;0,24;12,19
16/01/2024;FV-8815;FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);110124;80,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;9,18;734,69;8,14;651,00;0,02;13,35
16/01/2024;FV-8799;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);090124;180,00;MAT071;COBERTURA DE CHOCOLATE NEGRO;053180;COMPONENTE;MATERIA PRIMA;0,99;178,65;0,77;138,97;7,61;1.057,52
16/01/2024;FV-8793;SEM046;SC SEMIELABORADO PATATAS CONFITADAS PX;090124;2.156,00;SEM053;PREPARADO SAL, AJO, ROMERO Y PIMIENTA;181123;foodVAC;SEMIELABORADOS;0,00;3,02;0,00;2,45;1,90;4,64
16/01/2024;FV-8817;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);120124;352,00;SEM053;PREPARADO SAL, AJO, ROMERO Y PIMIENTA;061223;foodVAC;SEMIELABORADOS;0,02;6,97;0,02;6,90;1,50;10,34
16/01/2024;FV-8815;FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);110124;80,00;VAR142;CAJAS CARTON B1 PEQUEÑA;1002035937;COMPONENTE;MATERIAL AUXILIAR;1,02;81,63;1,00;80,00;0,41;32,41
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;VAR129;CAJA CARTON VACUM 71*30*14.5;1001563429;COMPONENTE;MATERIAL AUXILIAR;0,06;82,56;0,06;91,00;0,67;60,95
16/01/2024;FV-8830;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;150124;148,00;MAUX018;BOLSA VACIO 40x60 LORE140 MICRAS ENVASADO PLANCHAS;10696594;COMPONENTE;MATERIAL AUXILIAR;1,33;196,32;1,09;162,00;0,30;48,57
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAUX044;FILM VERDE (750 M X BOBINA ANCHO 58 MM ) EMBUTIR;28.02.23-14;COMPONENTE;MATERIAL AUXILIAR;1,00;230,00;1,09;250,00;0,11;26,60
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;VAR129;CAJA CARTON VACUM 71*30*14.5;1002029133;COMPONENTE;MATERIAL AUXILIAR;0,01;20,87;0,02;23,00;0,62;14,20
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;MAT104;PAPEL SULFURIZADO;103407903;COMPONENTE;MATERIAL AUXILIAR;0,03;207,07;0,03;213,00;0,05;10,63
16/01/2024;FV-8832;FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);150124;68,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;69,39;1,01;69,00;0,02;1,10
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT307;ESTABILIZADOR S010 DE SALSAS;J0914887;COMPONENTE;MATERIA PRIMA;0,02;4,85;0,01;3,35;5,83;19,53
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT323;ACEITE DE SESAMO;151224;COMPONENTE;MATERIA PRIMA;0,04;8,65;0,03;7,26;12,24;88,83
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT325;ACEITE DE OLIVA SUAVE EN BOX 1.000 LITROS (935 KG);30102300;COMPONENTE;MATERIA PRIMA;1,00;230,00;0,30;67,98;7,00;475,86
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,17;306,05;0,17;302,00;0,02;4,83
16/01/2024;FV-8831;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);150124;68,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;69,39;1,01;69,00;0,02;1,10
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,07;103,43;0,08;116,00;0,02;1,86
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;9,18;964,22;9,52;1.000,00;0,02;20,50
16/01/2024;FV-8815;FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);110124;80,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;1,03;82,28;0,85;67,77;0,47;32,18
16/01/2024;FV-8834;SEM078;JUGO DE COCCION (RABO);130124;38,56;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,09;3,61;0,08;2,97;0,47;1,41
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;VAR424;ESTUCHE NUEVO SECRETO PX 190x115x45;12303224;COMPONENTE;MATERIAL AUXILIAR;1,02;1.833,84;1,00;1.800,00;0,21;378,36
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,08;339,36;0,08;335,00;0,02;5,36
16/01/2024;FV-8815;FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);110124;80,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,00;80,00;1,01;81,00;0,02;1,30
16/01/2024;FV-8830;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;150124;148,00;MAT104;PAPEL SULFURIZADO;103407903;COMPONENTE;MATERIAL AUXILIAR;2,04;302,03;2,07;306,00;0,05;15,27
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,19;273,73;0,16;225,48;0,24;53,69
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAUX023;ETIQUETA IMPRESA FECHA DE CONSUMO PREFERENTE;10879;COMPONENTE;MATERIAL AUXILIAR;1,02;4.073,15;1,00;4.005,00;0,00;4,81
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAT308;ESTUCHE LA SIRENA TARTAR DE ATÚN;12303334;COMPONENTE;MATERIAL AUXILIAR;1,02;4.073,15;1,00;4.005,00;0,18;712,89
16/01/2024;FV-8831;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);150124;68,00;VAR142;CAJAS CARTON B1 PEQUEÑA;1002035937;COMPONENTE;MATERIAL AUXILIAR;1,02;69,38;1,00;68,00;0,41;27,55
16/01/2024;FV-8815;FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);110124;80,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;1,03;82,28;0,85;67,77;0,24;16,14
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,05;188,02;0,05;188,59;0,47;89,54
16/01/2024;FV-8831;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);150124;68,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;8,16;555,08;8,12;552,00;0,02;11,32
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1002014708;COMPONENTE;MATERIAL AUXILIAR;0,17;306,18;0,17;300,00;0,26;78,24
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;10879;COMPONENTE;MATERIAL AUXILIAR;0,90;1.614,35;0,89;1.593,00;0,00;1,91
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;VAR142;CAJAS CARTON B1 PEQUEÑA;1002035937;COMPONENTE;MATERIAL AUXILIAR;0,08;340,00;0,08;333,00;0,41;134,90
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,05;188,02;0,05;188,59;0,24;44,90
16/01/2024;FV-8832;FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);150124;68,00;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;150124;foodVAC;SEMIELABORADOS;1,50;101,99;1,50;102,00;41,00;4.181,87
16/01/2024;FV-8799;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);090124;180,00;MAT154;MARGARINA SUNORO CREMA CJ 20KG;23-11185;COMPONENTE;MATERIA PRIMA;1,00;179,98;0,78;140,02;3,00;420,06
16/01/2024;FV-8831;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);150124;68,00;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;150124;foodVAC;SEMIELABORADOS;0,67;45,33;0,68;46,00;41,00;1.885,94
16/01/2024;FV-8793;SEM046;SC SEMIELABORADO PATATAS CONFITADAS PX;090124;2.156,00;MAT056;PATATA PANADERA;1;COMPONENTE;MATERIA PRIMA;0,17;363,72;0,16;350,00;0,99;346,50
16/01/2024;FV-8799;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);090124;180,00;MAT021;HUEVO PASTEURIZADO ARTEOVO;234123;COMPONENTE;MATERIA PRIMA;1,00;179,98;1,56;280,00;2,10;588,00
16/01/2024;FV-8789;SEM072;BALLOTINE TARTAR PESCADO;090124;230,00;MAT312;SALSA DE SOJA;151224;COMPONENTE;MATERIA PRIMA;0,10;24,02;0,09;20,86;1,90;39,56
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;SEM072;BALLOTINE TARTAR PESCADO;151223;SC;SEMIELABORADOS;0,02;72,76;0,02;77,00;7,31;563,22
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232913;COMPONENTE;MATERIAL AUXILIAR;0,77;81,00;0,64;66,71;0,24;15,88
16/01/2024;FV-8799;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);090124;180,00;VAR118;CAJAS CARTON B1 MEDIANA;202300657;COMPONENTE;MATERIAL AUXILIAR;1,02;183,64;1,00;180,00;0,33;59,04
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;SEM072;BALLOTINE TARTAR PESCADO;090124;SC;SEMIELABORADOS;0,01;41,58;0,01;44,00;5,48;241,32
16/01/2024;FV-8793;SEM046;SC SEMIELABORADO PATATAS CONFITADAS PX;090124;2.156,00;MAT337;ACEITE DE OLIVA VIRGEN EXTRA GARRAFA 4.4 KG;23102306-1;COMPONENTE;MATERIA PRIMA;0,18;393,67;0,00;4,50;9,17;41,27
16/01/2024;FV-8815;FGUA005;CORAZON/ FLOR DE ALCACHOFA (Caja 8 uds X 500 g);110124;80,00;MAT185;CORAZONES DE ALCACHOFA;09023;COMPONENTE;MATERIA PRIMA;3,64;291,19;3,71;296,50;2,04;605,25
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;SEM046;SC SEMIELABORADO PATATAS CONFITADAS PX;090124;SC;SEMIELABORADOS;0,88;1.582,42;0,88;1.584,00;0,56;879,60
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;030124;SC;SEMIELABORADOS;1,00;1.798,20;1,00;1.800,00;1,52;2.743,02
16/01/2024;FV-8796;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);100124;1.800,00;SEM046;SC SEMIELABORADO PATATAS CONFITADAS PX;261223;SC;SEMIELABORADOS;0,12;215,78;0,12;216,00;0,53;114,16
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;MAT296;AJO TIERNO CONGELADO;22/09/23;COMPONENTE;MATERIA PRIMA;0,02;114,92;0,02;118,22;3,59;424,63
16/01/2024;FV-8817;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);120124;352,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;12,24;4.310,06;6,39;2.250,00;0,02;46,13
16/01/2024;FV-8830;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;150124;148,00;MAT373;COCHINILLO DE CERDO EN KG;ALB-FC134150;COMPONENTE;MATERIA PRIMA;9,27;1.372,21;8,28;1.224,95;4,55;5.573,54
16/01/2024;FV-8816;SCCO010;TARTAR DE ATÚN LA SIRENA (ESTUCHE 110 gr);110124;4.004,00;MAT132;ATUN LOMO;ALB-ALV24-00048;COMPONENTE;MATERIA PRIMA;0,09;366,37;0,10;381,26;11,40;4.346,36
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;MAUX042;ETIQUETA EN C MERCADONA ARROZ DE SECRETO;72952;COMPONENTE;MATERIAL AUXILIAR;0,75;5.658,63;0,77;5.776,00;0,02;143,82
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;MAT050;ALCACHOFA CUARTOS;09023;COMPONENTE;MATERIA PRIMA;1,94;203,88;0,19;20,00;2,38;47,60
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;MAUX042;ETIQUETA EN C MERCADONA ARROZ DE SECRETO;72591;COMPONENTE;MATERIAL AUXILIAR;0,34;2.545,21;0,34;2.598,00;0,03;64,95
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;MAT344;ARROZ VAPORIZADO S.25 KG;301123;COMPONENTE;MATERIA PRIMA;0,08;627,18;0,09;660,51;1,33;881,12
16/01/2024;FV-8828;ELAB005;COSTILLA DE VACUM, €/KG;150124;1.419,87;MAT321;COSTILLA PARA ELABORAR DE VACUM;ALB-1-2;COMPONENTE;MATERIA PRIMA;1,00;1.419,25;0,97;1.382,52;0,00;0,00
16/01/2024;FV-8817;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);120124;352,00;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;363;COMPONENTE;MATERIA PRIMA;2,76;972,19;2,76;972,50;6,90;6.710,25
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;SEM085;SEMIELABORADO DE ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (BOLSA);100124;SC;SEMIELABORADOS;0,03;207,07;0,03;213,00;19,56;4.166,86
16/01/2024;FV-8813;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);120124;7.536,00;MAT292;BARQUETA ARROCES LS: Q H 40 (180x180x40);ALB-2023/134304;COMPONENTE;MATERIAL AUXILIAR;1,01;7.641,68;1,02;7.682,00;0,07;564,63
16/01/2024;FV-8833;FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);130124;105,00;MAT185;CORAZONES DE ALCACHOFA;09023;COMPONENTE;MATERIA PRIMA;1,00;104,99;1,85;194,00;2,04;396,01
