Fecha Recepción;Nº Orden;Producto;Descripción Producto;Lote Producto;Unidades Fabricadas;Componente;Descripción Componente;Lote Componente;Línea;Familia;Consumo Teórico;Total Teórico;Consumo Unitario;Consumo Total;Coste Unitario;Coste Total
05/01/2024;FV-8769;SEM100;SEMIELABORADO SALSA CARRILLERA AL OPORTO;040124;123,30;MAT360;VINO DE OPORTO;317921;COMPONENTE;MATERIA PRIMA;0,91;111,77;1,15;141,36;5,48;774,94
05/01/2024;FV-8769;SEM100;SEMIELABORADO SALSA CARRILLERA AL OPORTO;040124;123,30;MAT271;ROMERO MOLIDO;J1023505;COMPONENTE;MATERIA PRIMA;0,00;0,38;0,00;0,48;6,26;3,01
05/01/2024;FV-8772;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);080124;504,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,17;85,72;0,17;85,00;0,02;1,36
05/01/2024;FV-8769;SEM100;SEMIELABORADO SALSA CARRILLERA AL OPORTO;040124;123,30;VAR113;ETIQUETA BLANCA P.P 90*60 ADH.FUERTE;0128531;COMPONENTE;MATERIAL AUXILIAR;1,02;125,82;0,81;100,00;0,01;0,97
05/01/2024;FV-8756;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);030124;648,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,17;110,19;0,17;109,00;0,02;1,74
05/01/2024;FV-8775;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);080124;432,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1002014708;COMPONENTE;MATERIAL AUXILIAR;0,17;73,47;0,17;72,00;0,26;18,78
05/01/2024;FV-8765;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;020124;2.003,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,09;171,65;0,07;141,41;0,23;32,52
05/01/2024;FV-8756;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);030124;648,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1002014708;COMPONENTE;MATERIAL AUXILIAR;0,17;110,22;0,17;108,00;0,26;28,17
05/01/2024;FV-8774;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;030124;2.078,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,09;178,04;0,07;146,71;0,45;66,02
05/01/2024;FV-8769;SEM100;SEMIELABORADO SALSA CARRILLERA AL OPORTO;040124;123,30;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,09;10,57;0,07;8,71;0,23;2,00
05/01/2024;FV-8756;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);030124;648,00;MAUX026;ESTUCHE RABO DE VACUNO;12302797;COMPONENTE;MATERIAL AUXILIAR;0,61;393,70;0,60;386,00;0,21;81,14
05/01/2024;FV-8772;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);080124;504,00;MAUX026;ESTUCHE RABO DE VACUNO;12302797;COMPONENTE;MATERIAL AUXILIAR;1,02;514,13;1,00;504,00;0,21;105,94
