;Almacén;Artículo;Descripción;Stock Unidades;Ubicación;Lote/Nº Serie;Lote Interno;Fecha Entrada;Proveedor;Caducidad;Entradas Previstas;Salidas Previstas;Fecha Salida Prevista
False;GENERAL;MAT278;ARROZ REDONDO CAT. EXTRA 25Kg;0,00;SECOS;180923-2;2312-010;22/12/2023;MAICERIAS ESPAÑOLAS SA (DACSA);24/09/2024;;;
False;NAVE 5;MAT320;ROUX OSCURO;0,00;SECOS;153062;2312-011;04/12/2023;MANUFACTURAS TABERNER SA;30/04/2025;;;
False;GENERAL;MAT320;ROUX OSCURO;0,00;SECOS;153062;2312-011;04/12/2023;MANUFACTURAS TABERNER SA;30/04/2025;;;
False;GENERAL;MAT296;AJO TIERNO CONGELADO;0,00;MMPP CONG;22/09/23;2312-013;04/12/2023;CONGELADOS DE NAVARRA SAU;31/08/2025;;;
False;CARBÓ;MAT296;AJO TIERNO CONGELADO;0,00;MMPP CONG;22/09/23;2312-013;04/12/2023;CONGELADOS DE NAVARRA SAU;31/08/2025;;;
False;CARBÓ;MAT339;MIX DE SETAS CULTIVADAS;0,00;MMPP CONG;29/09/23;2312-014;04/12/2023;CONGELADOS DE NAVARRA SAU;30/09/2025;;;
False;GENERAL;MAT339;MIX DE SETAS CULTIVADAS;0,00;MMPP CONG;29/09/23;2312-014;04/12/2023;CONGELADOS DE NAVARRA SAU;30/09/2025;;;
False;NAVE 5;MAT190;AZUCAR MORENO;0,00;SECOS;HLCUBZE230650;2312-015;05/12/2023;BROCAL OBRADOR Y RESTAURACION SL;05/12/2025;;;
False;GENERAL;MAT190;AZUCAR MORENO;0,00;SECOS;HLCUBZE230650;2312-015;05/12/2023;BROCAL OBRADOR Y RESTAURACION SL;05/12/2025;;;
False;NAVE 5;MAT104;PAPEL SULFURIZADO;0,00;SECOS;103407903;2312-016;05/12/2023;BROCAL OBRADOR Y RESTAURACION SL;01/01/2099;;;
False;GENERAL;MAT104;PAPEL SULFURIZADO;0,00;SECOS;103407903;2312-016;05/12/2023;BROCAL OBRADOR Y RESTAURACION SL;01/01/2099;;;
False;GENERAL;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;0,00;SALAS;ALB-2232913;2312-017;05/12/2023;FELIU PACKAGING, S.L.;;;;
False;NAVE 5;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;0,00;SALAS;ALB-2232913;2312-017;05/12/2023;FELIU PACKAGING, S.L.;;;;
False;NAVE 5;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;0,00;SALAS;ALB-2232913;2312-018;05/12/2023;FELIU PACKAGING, S.L.;;;;
False;GENERAL;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;0,00;SALAS;ALB-2232913;2312-018;05/12/2023;FELIU PACKAGING, S.L.;;;;
False;NAVE 5;MAT033;AZUCAR;0,00;SECOS;L23P461;2312-019;05/12/2023;VALIMEX SL;05/12/2025;;;
False;GENERAL;MAT033;AZUCAR;0,00;SECOS;L23P461;2312-019;05/12/2023;VALIMEX SL;05/12/2025;;;
False;GENERAL;MAT073;ALMIDON DE MAIZ (MAIZENA);0,00;SECOS;S1L-142015;2312-020;05/12/2023;VALIMEX SL;30/05/2025;;;
False;NAVE 5;MAT073;ALMIDON DE MAIZ (MAIZENA);0,00;SECOS;S1L-142015;2312-020;05/12/2023;VALIMEX SL;30/05/2025;;;
False;GENERAL;VAR444;GAS BIOGON NC 30 (BATERÍA 12 BOTELLAS);0,00;EXPEDICIÓN;1074038178;2312-021;05/12/2023;LINDE GAS ESPAÑA SAU;;;;
False;GENERAL;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;0,00;VAR;10879;2312-022;05/12/2023;S2G INFORMÁTICA S.L.;;;;
False;NAVE 5;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;0,00;VAR;10879;2312-022;05/12/2023;S2G INFORMÁTICA S.L.;;;;
False;NAVE 5;MAUX023;ETIQUETA IMPRESA FECHA DE CONSUMO PREFERENTE;0,00;VAR;10879;2312-023;05/12/2023;S2G INFORMÁTICA S.L.;;;;
False;GENERAL;MAUX023;ETIQUETA IMPRESA FECHA DE CONSUMO PREFERENTE;0,00;VAR;10879;2312-023;05/12/2023;S2G INFORMÁTICA S.L.;;;;
False;NAVE 5;MAUX024;FILM TERMOSELLADORA ULMA 235 PP EVOH PEEL 55MC (1000m);0,00;SALAS;ALB-82803748;2312-024;05/12/2023;LINPAC PRAVIA SA;;;;
False;GENERAL;MAUX024;FILM TERMOSELLADORA ULMA 235 PP EVOH PEEL 55MC (1000m);0,00;SALAS;ALB-82803748;2312-024;05/12/2023;LINPAC PRAVIA SA;;;;
False;GENERAL;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;0,00;MMPP CONG;233423;2312-025;05/12/2023;PRODUCTOS IBERICOS CALDERON Y RAMOS SL;30/05/2025;;;
False;GENERAL;MAT149;CARRILLERA CERDO INTERNA;0,00;MMPP CONG;3473;2312-026;05/12/2023;FRISELVA, S.A.;21/11/2025;;;
False;GENERAL;MAUX021;PALET LOGIFRUIT 81;0,00;EXPEDICIÓN;ALB-29511RIB23;2312-027;06/12/2023;LOGIFRUIT IBERIA SLU;;;;
