;Almacén;Artículo;Descripción;Stock Unidades;Ubicación;Lote/Nº Serie;Lote Interno;Fecha Entrada;Proveedor;Caducidad;Entradas Previstas;Salidas Previstas;Fecha Salida Prevista
False;NAVE 5;VAR383;ESTUCHE BASE CABECERO LOMO PLASTICO SELECTIUM;0,00;EXPEDICIÓN;0631019 INTERNO;;;;;;;
False;CONSUMO INTERNO GENERAL;VAR099;ACUMULADORES DE FRIO;0,00;;AGOSTO2019;;;;;;;
False;GENERAL;VAR099;ACUMULADORES DE FRIO;0,00;PPAA CONG;AGOSTO2019;;;;;;;
False;NAVE 5;VAR312;ESTUCHE TAPA NEGRO PLÁSTICO SELECTIUM;0,00;EXPEDICIÓN;0851909 INTERNO;;;;01/05/2020;;;
False;GENERAL;VAR384;ESTUCHE TAPA CABECERO LOMO PLASTICO SELECTIUM;0,00;;0631019 INTERNO;;;;;;;
False;GENERAL;VAR312;ESTUCHE TAPA NEGRO PLÁSTICO SELECTIUM;0,00;EXPEDICIÓN;0851909 INTERNO;;;;01/05/2020;;;
False;NAVE 5;VAR099;ACUMULADORES DE FRIO;0,00;PPAA CONG;AGOSTO2019;;;;;;;
False;NAVE 5;VAR384;ESTUCHE TAPA CABECERO LOMO PLASTICO SELECTIUM;0,00;EXPEDICIÓN;0631019 INTERNO;;;;;;;
False;GENERAL;VAR383;ESTUCHE BASE CABECERO LOMO PLASTICO SELECTIUM;0,00;;0631019 INTERNO;;;;;;;
False;GENERAL;MAT051;JENGIBRE FRESCO;0,00;;.;;;;02/05/2020;;;
False;GENERAL;MAT045;OBSOLETO: ACEITE DE OLIVA VIRGEN EXTRA GARRAFA 4.4 KG;0,00;;1231018;;;;29/05/2019;;;
False;GENERAL;MAT130;ACEITUNAS VERDES EN RODAJAS (1,56 KG ESCURRIDO);0,00;;411018;;;;01/10/2022;;;
False;GENERAL;MAT261;ÑORA;0,00;;2309323109E;;;;04/05/2023;;;
False;GENERAL;FCRO002;CROQUETAS QUESO AZUL SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;0,00;;20230504.01;;;;04/05/2023;;3,00;14/04/2025
False;GENERAL;MAT175;SOJA;0,00;;861018;;;;18/12/2019;;;
False;GENERAL;MAT074;DESMOLDANTE;0,00;;461018;;;;19/10/2019;;;
False;GENERAL;SEM005;SALSA DE VACUNO (BOLSA);0,00;;070524A;;;;05/11/2025;;;
False;GENERAL;SEM131;SEMIELABORADO TORRIJA UNIDADES;0,00;PPAA CONG;261224;;;;26/12/2025;;;
False;GENERAL;SEM074;BARQUETA PAELLA VALENCIANA (1 x 300);0,00;;170222;;;;18/03/2022;;;
False;GENERAL;MAT297;LANGOSTINO VANAMEY 50/60;0,00;MMPP CONG;PR282121-;;;;13/07/2023;;;
False;GENERAL;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);0,00;;220822;;;;17/08/2023;;2,00;07/04/2025
False;GENERAL;MAT024;BOLETUS EDULIS (DESHIDRATADAS);0,00;;1711156BEL3D;;;;01/11/2019;;;
False;GENERAL;MAT296;AJO TIERNO CONGELADO;0,00;;(SIN LOTE);;;;13/10/2021;;;
False;GENERAL;MAT148;POLIPROPILENO HORNO 50*25 S-2;0,00;;A28/T48;;;;30/12/2029;;;
False;GENERAL;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;0,00;PPAA CONG;040325;;;;04/09/2026;;;
False;GENERAL;VAR119;ENVASE FLOR 6 HUECO (GRATENES Y POSTRES);0,00;;27/06/18- ALB 12249;;;;30/12/2029;;;
False;GENERAL;MAT154;MARGARINA SUNORO CREMA CJ 20KG;0,00;;(SIN LOTE);;;;26/08/2024;;;
False;CARBÓ;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;0,00;MMPP CONG;ALB- 2025.A.140;;;;29/01/2026;;;
False;NAVE 5;MAT303;FIDEO NUMERO 4;0,00;SECOS;ALB-VAL24/001934;;;;11/02/2024;;;
False;GENERAL;MAT121;ESPECIAS TANDOORI;0,00;;7282L2B;;;;01/07/2019;;;
False;GENERAL;MAT137;COBERTURA DE CHOCOLATE BLANCO W2NV-01B GOTAS 10K;0,00;;180918;;;;05/08/2019;;;
False;VIRTUAL INCIDENCIAS;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;;216623;;;;03/08/2023;;;
False;GENERAL;MAT357;PIEL DE COCHINILLO;0,00;MMPP CONG;7223/25423;;;;12/03/2026;;;
False;GENERAL;MAT071;COBERTURA DE CHOCOLATE NEGRO;0,00;;059325;;;;30/11/2021;;;
False;NAVE 5;MAT308;ESTUCHE LA SIRENA TARTAR DE ATÚN;0,00;NAVE 5;123001182;;;;01/01/2099;;;
False;GENERAL;MAT075;NUECES;0,00;;300918;;;;30/04/2019;;;
False;GENERAL;MAT020;LECHE ENTERA DE VACA;0,00;MMPP REF;L9292CP;;;;24/03/2024;;;
False;GENERAL;FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);0,00;;20122021;;;;20/06/2023;;58,00;23/06/2025
False;GENERAL;VAR119;ENVASE FLOR 6 HUECO (GRATENES Y POSTRES);0,00;;820918;;;;30/12/2029;;;
False;GENERAL;FPES002;SALMON CON ACEITE DE LIMON Y VAINILLA (CAJA 12 ud);0,00;;240720;;;;24/07/2021;;;
False;GENERAL;MAT033;AZUCAR;0,00;;581018;;;;31/12/2026;;;
False;NAVE 5;MAT269;NUECES GRANO TROZO LIGHT;0,00;;(SIN LOTE);;;;10/07/2023;;;
False;GENERAL;FCAR046;CARRILLERA DE CERDO AL OPORTO (CAJA 12 uds x 220 gr);0,00;PPAA CONG;010722;;;;01/01/2024;;114,00;08/04/2025
False;GENERAL;MAT260;COLA DE GAMBA;0,00;;AF6540519;;;;01/05/2021;;;
False;GENERAL;SEM071;BALLOTINE STEAK TARTAR CON TABASCO;0,00;PPAA CONG;291123;;;;28/04/2024;;;
False;GENERAL;MAT160;COCHINILLO PEQUEÑO MALETINES;0,00;;139/17;;;;06/10/2019;;;
False;GENERAL;MAT398;COLAS LANGOSTINO BLACK TIGER;0,00;MMPP CONG;VN1064V013/DSD-283-2024;;;;21/11/2026;;;
False;GENERAL;MAUX033;ETIQUETA GRANATE 68*43 POLIPROPILENO;0,00;;(SIN LOTE);;;;30/11/2023;;;
False;GENERAL;FMUE008;CROQUETAS CHISTORRA SIN GLUTEN (6 UDS) FORMATO 20 GR;0,00;;23087E;;;;01/10/2024;;;
False;GENERAL;VAR057;RIBBON ZEE 110 *74;0,00;;.;;;;07/02/2020;;;
False;GENERAL;ELAB005;COSTILLA DE VACUM, €/KG;0,00;MMPP CONG;ALB-33;;;;08/11/2024;;;
False;GENERAL;MAT130;ACEITUNAS VERDES EN RODAJAS (1,56 KG ESCURRIDO);0,00;;Q168534;;;;02/02/2019;;;
False;GENERAL;VAR118;CAJAS CARTON B1 MEDIANA;0,00;;4149653;;;;30/12/2029;;;
False;GENERAL;MAT136;CORDERO LECHAL;0,00;;1091218;;;;31/12/2018;;;
False;GENERAL;MAT082;MANZANA DESHIDRATADA;0,00;;2017090828;;;;28/02/2019;;;
False;GENERAL;VAR112;ETIQUETA P.P 50*25 S-2 (BLANCA);0,00;;(SIN LOTE);;;;15/02/2024;;;
False;GENERAL;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);0,00;PPAA REF;110424;;;;16/07/2024;;504,00;09/04/2025
False;GENERAL;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;;(SIN LOTE);;;;17/08/2022;;;
False;NAVE 5;MAT104;PAPEL SULFURIZADO;0,00;;-6;;;;02/04/2099;;;
False;GENERAL;MAT132;ATUN LOMO;0,00;;381018;;;;26/09/2020;;;
False;GENERAL;MAT016;AROMA DE TRUFA NEGRA;0,00;;351018;;;;04/10/2020;;;
False;GENERAL;MAT077;UVAS PASAS;0,00;;214735365;;;;30/04/2019;;;
False;GENERAL;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;;631018;;;;21/11/2018;;;
False;GENERAL;MAT164;FILM BOBINA FLOWPACK OPP (300 m x bobina);0,00;;201018;;;;30/12/2029;;;
False;GENERAL;MAT360;VINO DE OPORTO;0,00;SECOS;013001;;;;13/01/2025;;;
False;GENERAL;FPER045;BROWNIE DE C.BLANCO SIN GLUTEN RACION (24 uds);0,00;;270220;;;;27/02/2022;;;
False;GENERAL;SEM085;SEMIELABORADO DE ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (BOLSA);0,00;;100723;;;;08/10/2023;;;
False;GENERAL;FCAR015;RABO DE VACUNO DESHUESADO PLANCHA (2x2.35 kg);0,00;;110523;;;;08/11/2024;;34,00;22/05/2025
False;GENERAL;MAT326;CORDERO LECHAL (CUELLO);0,00;MMPP-CONG;F-2205-25;;;;22/05/2025;;;
False;GENERAL;MAT149;CARRILLERA CERDO INTERNA;0,00;;ALB-AC232110183;;;;10/05/2025;;;
False;GENERAL;MAT055;CANELA;0,00;;09113-hl27;;;;01/11/2021;;;
False;GENERAL;RACIONPOS009;BLISTER 6- COULAND CHOCOLATE MICROONDAS SIN GLUTEN;37,00;;PRUEBA 2;;;;;;8,00;08/04/2025
False;GENERAL;VAR444;GAS BIOGON NC 30 (BATERÍA 12 BOTELLAS);0,00;SALAS;2183037563;;;;;;;
False;GENERAL;SEM078;JUGO DE COCCION (RABO);0,00;PPAA CONG;200623;;;;18/10/2023;;;
False;GENERAL;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);0,00;;.;;;;24/04/2019;;2,00;07/04/2025
False;GENERAL;MAT101;CEBOLLAS PELADAS;0,00;;(SIN LOTE);;;;19/10/2021;;;
False;GENERAL;FPOS016;TORRIJAS (20 ud);0,00;;261224;;;;21/12/2025;;;
False;GENERAL;FCAR021;PICANTON RELLENO DE JAMON IBERICO Y TRUFA NEGRA;0,00;;180220;;;;11/08/2021;;;
False;GENERAL;SEM005;SALSA DE VACUNO (BOLSA);0,00;PPAA CONG;100125;;;;10/07/2026;;;
False;GENERAL;MAT154;MARGARINA SUNORO CREMA CJ 20KG;0,00;;781018;;;;22/05/2019;;;
False;GENERAL;MAT074;DESMOLDANTE;0,00;;1171018;;;;19/10/2019;;;
False;GENERAL;MAT187;OREJA FLAT;0,00;MMPP CONG;E01/1941 E31/1951;;;;01/12/2023;;;
False;GENERAL;MAT035;SECRETO DE CERDO IBERICO PAPADA;0,00;;37202-37201-39201;;;;21/09/2022;;;
False;GENERAL;MAT406;FONDO BASE ARROCES PREPARADO DE MARISCO (Sin tomate ni pimentón);0,00;;15432;;;;18/07/2024;;;
False;GENERAL;MAT035;SECRETO DE CERDO IBERICO PAPADA;0,00;;620918;;;;19/06/2019;;;
False;GENERAL;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;;1221018;;;;21/11/2018;;;
False;GENERAL;MAT056;PATATA PANADERA;0,00;;12514;;;;18/01/2019;;;
False;GENERAL;SEM078;JUGO DE COCCION (RABO);0,00;;(SIN LOTE);;;;01/06/2023;;;
False;GENERAL;SEM072;BALLOTINE TARTAR PESCADO;0,00;PPAA CONG;090424;;;;31/08/2024;;;
False;GENERAL;FPER050;COULAND MICRO BLANCO 24 UDS TOPGEL;0,00;PPAA CONG;070222;;;;07/02/2023;;264,00;17/04/2025
False;GENERAL;MAT039;OBSOLETO: COCHINILLO DE CERDO;0,00;MMPP CONG;5021-18621;;;;05/07/2023;;;
False;GENERAL;MAT283;PATATA DOLLAR;0,00;;200167-;;;;15/01/2022;;;
False;GENERAL;FCAR016;RABO DE VACUNO DESHUESADO RACION (CAJA 16 uds);0,00;;291224;;;;29/06/2026;;;
False;GENERAL;MAT071;COBERTURA DE CHOCOLATE NEGRO;0,00;;971018;;;;31/08/2020;;;
False;GENERAL;SCRE008;1/2 COCHINILLO CON MANZANAS AL OPORTO;0,00;;280119;;;;28/04/2019;;;
False;GENERAL;VAR121;PRECINTO;0,00;;(SIN LOTE);;;;15/01/2021;;;
False;GENERAL;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);0,00;;201022;;;;30/09/2023;;2,00;07/04/2025
False;GENERAL;MAT045;OBSOLETO: ACEITE DE OLIVA VIRGEN EXTRA GARRAFA 4.4 KG;0,00;;73650525;;;;14/02/2019;;;
False;NAVE 5;VAR113;ETIQUETA BLANCA P.P 90*60 ADH.FUERTE;0,00;;1909-098;;;;02/04/2020;;;
False;NAVE 5;MAT073;ALMIDON DE MAIZ (MAIZENA);0,00;SECOS;123456;;;;28/04/2021;;;
False;GENERAL;MAT175;SOJA;0,00;;851018;;;;18/12/2019;;;
False;NAVE 5;MAT229;TECNOMIC CL20;0,00;;1345;;;;04/09/2024;;;
False;GENERAL;MAT242;GARROFON CONGELADO;0,00;MMPP CONG;1204-;;;;23/07/2023;;;
False;GENERAL;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;0,00;;141220;;;;15/03/2021;;;
False;CONSUMO INTERNO I+D;MAT060;TOMATE FRITO BOTE  2.55  KG;0,00;;0231-;;;;31/12/2025;;;
False;GENERAL;MAT233;MAGRO DE FALDA DE BOVINO;0,00;MMPP REF;22206;;;;10/12/2022;;;
False;DEPÓSITOS;FCAR031;PULLED PORK (Caja 8 uds X 500 g);0,00;;.;;;;13/02/2020;;;
False;GENERAL;MAT065;TOMATE CONCENTRADO;0,00;;14249;;;;30/12/2029;;;
False;GENERAL;VAR121;PRECINTO;0,00;;0210819;;;;04/11/2019;;;
False;GENERAL;FCAR046;CARRILLERA DE CERDO AL OPORTO (CAJA 12 uds x 220 gr);0,00;;(SIN LOTE);;;;14/03/2025;;114,00;08/04/2025
False;GENERAL;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;mmpp ref;216623;;;;03/08/2023;;;
False;GENERAL;MAT071;COBERTURA DE CHOCOLATE NEGRO;0,00;;350918;;;;01/06/2020;;;
False;GENERAL;MAT018;PIMIENTA NEGRA;0,00;SECOS;E0313658;;;;10/03/2021;;;
False;GENERAL;MAT296;AJO TIERNO CONGELADO;0,00;MMPP CONG;1194-;;;;13/07/2023;;;
False;GENERAL;MAT296;AJO TIERNO CONGELADO;0,00;MMPP CONG;1194;;;;13/07/2023;;;
False;GENERAL;FCAR046;CARRILLERA DE CERDO AL OPORTO (CAJA 12 uds x 220 gr);0,00;PPAA REF;200722;;;;26/09/2022;;114,00;08/04/2025
False;VIRTUAL INCIDENCIAS;MAT268;TROZOS DE SALMON ATLANTICO CONGELADO;0,00;;(SIN LOTE);;;;16/10/2023;;;
False;GENERAL;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;0,00;;170521;;;;16/06/2021;;;
False;GENERAL;FCAR016;RABO DE VACUNO DESHUESADO RACION (CAJA 16 uds);0,00;;130621;;;;13/12/2022;;;
False;GENERAL;MAT011;PICANTON SIN HUESO;0,00;;891018;;;;10/04/2020;;;
False;GENERAL;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);0,00;;290722;;;;27/10/2022;;504,00;09/04/2025
False;GENERAL;SEM123;SEMIELABORADO COULAND BLANCO DE MICROONDAS UNIDADES;0,00;;150324;;;;15/09/2025;;;
False;GENERAL;MAT371;CARNE DE MEJILLON P;0,00;MMPP CONG;101-23-131;;;;01/12/2024;;;
False;GENERAL;MAUX021;PALET LOGIFRUIT 81;0,00;EXPEDICIÓN;2211012;;;;;;;
False;NAVE 5;MAT349;TOMATE EN POLVO;0,00;;AV364272;;;;18/07/2024;;;
False;GENERAL;MAT015;JAMON SERRANO;0,00;;1191018;;;;26/06/2019;;;
False;GENERAL;MAT045;OBSOLETO: ACEITE DE OLIVA VIRGEN EXTRA GARRAFA 4.4 KG;0,00;;007052;;;;30/08/2019;;;
False;GENERAL;MAT261;ÑORA;0,00;;23087E;;;;04/05/2023;;;
False;GENERAL;SEM085;SEMIELABORADO DE ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (BOLSA);0,00;MMPP REF;281223;;;;26/02/2024;;;
False;GENERAL;MAUX025;CAJA EUROPOOL 24603;0,00;;(SIN LOTE);;;;30/11/2023;;;
False;GENERAL;MAT073;ALMIDON DE MAIZ (MAIZENA);0,00;SECOS;123456;;;;28/04/2021;;;
False;GENERAL;MAT034;COSTILLA CERDO IBERICO;0,00;;1041018;;;;10/11/2020;;;
False;GENERAL;MAT178;PICAÑA DE VACUNO;0,00;;19400544;;;;15/01/2019;;;
False;GENERAL;MAT174;CODILLO DE CERDO CON PIEL;0,00;;831018;;;;20/04/2020;;;
False;GENERAL;SEM075;BARQUETA ARROZ A BANDA SIN MGS (1 x 280);0,00;PPAA REF;291021;;;;28/11/2021;;;
False;GENERAL;MAT101;CEBOLLAS PELADAS;0,00;MMPP REF;102-;;;;21/05/2021;;;
False;GENERAL;VAR444;GAS BIOGON NC 30 (BATERÍA 12 BOTELLAS);0,00;;2189794551;;;;;;;
False;GENERAL;FCAR002;COCHINILLO DESHUESADO RACION (CAJA 16 uds);0,00;PPAA CONG;030122;;;;02/07/2023;;;
False;GENERAL;FCAR007;SECRETO DE CERDO IBERICO kg (CAJA 4kg);0,00;;290719;;;;29/01/2021;;;
False;GENERAL;SEM076;BARQUETA FIDEUA SIN MGS (1 x 280);0,00;;271221;;;;26/01/2022;;;
False;GENERAL;MAT030;CEBOLLA;0,00;;20576;;;;28/12/2018;;;
False;GENERAL;MAT041;MANITAS DE CERDO;0,00;;108306;;;;13/10/2021;;;
False;GENERAL;MAT020;LECHE ENTERA DE VACA;0,00;;924120;;;;25/01/2021;;;
False;GENERAL;MAT020;LECHE ENTERA DE VACA;0,00;;1141018;;;;21/02/2019;;;
False;GENERAL;FCAR052;TERRINA DE MELOSO MIXTA PLANCHA (2x2.35 kg);0,00;;(SIN LOTE);;;;18/11/2024;;;
False;GENERAL;FPOS015;TARTA DE QUESO SIN GLUTEN RACION (36 ud);0,00;;270220;;;;21/02/2021;;;
False;GENERAL;MAT160;COCHINILLO PEQUEÑO MALETINES;0,00;;561018;;;;01/01/2020;;;
False;GENERAL;MAT057;PATATA TORTILLA;0,00;;1131018;;;;30/11/2018;;;
False;NAVE 5;MAT330;VINAGRE DE VINO BLANCO;0,00;SECOS;4008-1;;;;31/12/1950;;;
False;NAVE 5;MAT055;CANELA;0,00;;AV364272;;;;18/07/2024;;;
False;GENERAL;MAT245;PIMENTON DULCE;0,00;;138168;;;;28/12/2021;;;
False;GENERAL;MAT073;ALMIDON DE MAIZ (MAIZENA);0,00;;811018;;;;31/05/2020;;;
False;GENERAL;MAT068;SALMON FILETES;0,00;;901018;;;;29/10/2018;;;
False;GENERAL;VAR440;VITOLA ARROZ DE SECRETO CONSUM (300gr);0,00;;39042/1/1;;;;;;;
False;GENERAL;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;0,00;;ALB-VE-300;;;;04/06/2024;;;
False;GENERAL;MAT330;VINAGRE DE VINO BLANCO;0,00;SECOS;1821;;;;01/06/2026;;;
False;GENERAL;MAT261;ÑORA;0,00;;(SIN LOTE);;;;30/06/2021;;;
False;NAVE 5;VAR119;ENVASE FLOR 6 HUECO (GRATENES Y POSTRES);0,00;;60761;;;;30/09/2030;;;
False;GENERAL;MAT113;CORDERO RECENTAL (CUELLO);0,00;;1251018;;;;02/02/2020;;;
False;GENERAL;MAT113;CORDERO RECENTAL (CUELLO);0,00;;481018;;;;01/07/2020;;;
False;GENERAL;MAT030;CEBOLLA;0,00;;1101018;;;;01/12/2018;;;
False;GENERAL;VAR118;CAJAS CARTON B1 MEDIANA;0,00;;840918;;;;30/12/2029;;;
False;GENERAL;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);0,00;;07122021;;;;07/12/2022;;2,00;07/04/2025
False;GENERAL;VAR317;BOLSA BP.AZUL OSCURO 105/60/60/60 (descongelar);0,00;;(SIN LOTE);;;;01/01/1900;;;
False;GENERAL;VAR137;CAJA B1 LARGA;0,00;;L 3956172;;;;30/12/2029;;;
False;NAVE 5;MAT330;VINAGRE DE VINO BLANCO;0,00;SECOS;1821;;;;01/06/2026;;;
False;CONSUMO INTERNO GENERAL;MAT330;VINAGRE DE VINO BLANCO;0,00;;1821;;;;01/06/2026;;;
False;NAVE 5;MAT147;FLANERAS COULAND;0,00;;12438;;;;01/01/2099;;;
False;GENERAL;MAT330;VINAGRE DE VINO BLANCO;0,00;;4110-3;;;;31/12/2050;;;
False;GENERAL;MAT257;CALAMAR POTON DADOS 1X1 0%;0,00;MMPP CONG;2364;;;;30/12/2024;;;
False;GENERAL;MAT084;OBSOLETO: PREPARADO FONDO DE CARNE DE VACUNO;0,00;;FD;;;;25/08/2021;;;
False;GENERAL;MAT099;MAIZENA EXPRESS OSCURA;0,00;;900918;;;;01/06/2021;;;
False;GENERAL;MAT022;COPOS DE PATATA;0,00;;1521540;;;;29/04/2019;;;
False;NAVE 5;VAR128;ESTUCHE BASE NEGRO PLASTICO SELECTIUM;0,00;;DICIEMBRE 2018;;;;01/01/1900;;;
False;GENERAL;MAT149;CARRILLERA CERDO INTERNA;0,00;;ALB24-11489;;;;19/09/2024;;;
False;NAVE 5;VAR312;ESTUCHE TAPA NEGRO PLÁSTICO SELECTIUM;0,00;;DICIEMBRE 2018;;;;01/01/1900;;;
False;GENERAL;SEM050;LS SEMIELABORADO 30 RACIONES PAELLA VALENCIANA;0,00;;101220;;;;01/03/2021;;;
False;GENERAL;MAT112;CARRILLERA DE VACUNO ENTERA;0,00;;4361;;;;01/04/2019;;;
False;GENERAL;MAT055;CANELA;0,00;;MAT042;;;;01/03/2020;;;
False;GENERAL;MAT013;NATA LIQUIDA;0,00;;1151018;;;;24/02/2019;;;
False;GENERAL;MAT015;JAMON SERRANO;0,00;;1201018;;;;26/06/2019;;;
False;GENERAL;SEM106;SEMIELABORADO SOFRITO CARNE PAPAS LOCAS;0,00;;120723;;;;10/09/2023;;;
False;GENERAL;MAT406;FONDO BASE ARROCES PREPARADO DE MARISCO (Sin tomate ni pimentón);0,00;;1231465488;;;;18/07/2024;;;
False;GENERAL;MAT067;BACALAO;0,00;;431018;;;;15/06/2020;;;
False;GENERAL;MAT055;CANELA;0,00;;AV364272;;;;18/07/2024;;;
False;GENERAL;SEM059;LS SEMIELABORADO ARROZ DE SECRETO CON BOLETUS (BOLSA);0,00;MMPP REF;160821;;;;14/11/2021;;;
False;NAVE 5;VAR443;VITOLA PAELLA DE VERDURAS CONSUM (300gr);0,00;;36165;;;;;;;
False;GENERAL;SEM071;BALLOTINE STEAK TARTAR CON TABASCO;0,00;PPAA CONG;301223;;;;28/04/2024;;;
False;GENERAL;MAT052;CALABAZA;0,00;;1441;;;;26/12/2018;;;
False;GENERAL;FMUE005;CROQUETAS JAMON IBERICO SIN GLUTEN (6 UDS) FORMATO 20 GR;0,00;;24079-E;;;;19/02/2025;;;
False;NAVE 5;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;0,00;VAR;250322;;;;;;;
False;NAVE 5;MAUX029;ESTUCHE CARRILLERA DE CERDO;0,00;EXPEDICIÓN;12303646-1;;;;;;;
False;CONSUMO INTERNO GENERAL;MAT315;SALSA TABASCO;0,00;;091520--;;;;25/09/2025;;;
False;GENERAL;SCRE015;LS ARROZ SECRETO IBÉRICO CON BOLETUS (4 X 1.2 kg);0,00;;111220;;;;13/01/2021;;;
False;GENERAL;MAT075;NUECES;0,00;;ALB215123666;;;;30/04/2019;;;
False;GENERAL;VAR385;CAJAS BLANCAS PARA MUESTRAS;0,00;;(SIN LOTE);;;;;;;
False;NAVE 5;MAUX029;ESTUCHE CARRILLERA DE CERDO;0,00;EXPEDICIÓN;123027098;;;;;;;
False;GENERAL;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;MMPP REF;010623;;;;01/06/2023;;;
False;GENERAL;MAT294;FILM PELABLE LS (750 M X UD ANCHO 44) MECAPACK;0,00;;OIAUEGYRF;;;;22/02/2021;;;
False;NAVE 5;MAUX058;ETIQUETA EN C FIDEUA MARINERA ALDI;0,00;EXPEDICIÓN;014877;;;;;;;
False;NAVE 5;VAR119;ENVASE FLOR 6 HUECO (GRATENES Y POSTRES);0,00;;30/09/2019-M1-;;;;18/11/2029;;;
False;GENERAL;MAT170;FILM TAPA 150 MC (CRYSTAL)  (500M X BOBINA ANCHO 405) MULTIVAC;0,00;;951018;;;;30/12/2029;;;
False;GENERAL;VAR444;GAS BIOGON NC 30 (BATERÍA 12 BOTELLAS);0,00;SALAS;1073210810;;;;;;;
False;NAVE 5;MAT315;SALSA TABASCO;0,00;SECOS;091520--;;;;25/09/2025;;;
False;GENERAL;MAT236;FILM AZUL (750M X BOBINA ANCHO 125 MM) EMBUTIR;0,00;SECOS;080518;;;;01/01/2030;;;
False;NAVE 5;MAT405;MOSTAZA AMARILLA GARRAFA 1,825 Kg;0,00;SECOS;124566;;;;13/11/2025;;;
False;GENERAL;MAT321;COSTILLA PARA ELABORAR DE VACUM;0,00;;-41;;;;29/05/2023;;;
False;GENERAL;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);0,00;;230824;;;;23/10/2024;;2,00;07/04/2025
False;GENERAL;MAT028;OBSOLETO: VINO DE OPORTO;0,00;;1417;;;;30/12/2029;;;
False;GENERAL;MAT252;PATATA ENTERA;0,00;;.;;;;23/05/2020;;;
False;GENERAL;MAT056;PATATA PANADERA;0,00;;ALB154111;;;;24/01/2019;;;
False;GENERAL;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);0,00;;060824;;;;06/09/2024;;60.864,00;14/04/2025
False;GENERAL;MAT048;RABO DE VACUNO;0,00;MMPP CONG;ALB-00616025;;;;31/08/2023;;;
False;GENERAL;MAT154;MARGARINA SUNORO CREMA CJ 20KG;0,00;MMPP REF;23-01118;;;;23/10/2023;;;
False;GENERAL;FMUE008;CROQUETAS CHISTORRA SIN GLUTEN (6 UDS) FORMATO 20 GR;0,00;;23198E;;;;01/10/2024;;;
False;GENERAL;MAT056;PATATA PANADERA;0,00;;(SIN LOTE);;;;19/10/2021;;;
False;GENERAL;MAT302;COLORANTE NATURAL SCAIII;0,00;;(SIN LOTE);;;;01/06/2021;;;
False;GENERAL;MAT038;CARRILLERA DE CERDO;0,00;;(SIN LOTE);;;;14/04/2023;;;
False;GENERAL;MAT174;CODILLO DE CERDO CON PIEL;0,00;;595;;;;21/12/2020;;;
False;GENERAL;MAT241;JUDIA VERDE PLANA TROCEADA;0,00;MMPP CONG;1228;;;;16/08/2023;;;
False;GENERAL;MAT053;MIEL;0,00;;551018;;;;01/01/2020;;;
False;GENERAL;MAT175;SOJA;0,00;;871018;;;;18/12/2019;;;
False;NAVE 5;MAT147;FLANERAS COULAND;0,00;SECOS;0032167;;;;01/01/2099;;;
False;GENERAL;MAT082;MANZANA DESHIDRATADA;0,00;;940918;;;;25/06/2020;;;
False;GENERAL;MAT089;MOSTAZA ANTIGUA;0,00;;FDF;;;;25/08/2021;;;
False;GENERAL;SCRE023;LS PAELLA VALENCIANA (6 X 0.7 kg);0,00;;190921;;;;19/10/2021;;;
False;GENERAL;FMUE008;CROQUETAS CHISTORRA SIN GLUTEN (6 UDS) FORMATO 20 GR;0,00;;24079E;;;;01/10/2024;;;
False;NAVE 5;VAR424;ESTUCHE NUEVO SECRETO PX 190x115x45;0,00;;12403712-.;;;;01/01/2099;;;
False;GENERAL;MAT241;JUDIA VERDE PLANA TROCEADA;0,00;;26894653;;;;30/09/2022;;;
False;NAVE 5;VAR431;VITOLA ARROZ NEGRO ALDI;0,00;;36165;;;;;;;
False;GENERAL;MAT184;MUESTRAS I+D (NO INVENTARIABLES);0,00;MMPP REF;.;;;;10/02/2020;;;
